timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1502380800,Aug 10 2017 - 4:00pm,complete,1814,Al Fateh,Al Taawon,0.00,0.00,1.20,1.00,1,4,5,1,0,1,"81","20,57,59,85",0,0,3,0,0,0,0,0,0,0,0,0,24,11,24,76,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Jalawi Sports City Stadium (Al-Hasa)
1502387700,Aug 10 2017 - 5:55pm,complete,9765,Al Hilal,Al Feiha,0.00,0.00,2.40,1.00,2,1,3,2,1,1,"37,78","31",9,0,2,0,5,0,31,7,12,5,19,2,14,24,63,37,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Fahd International Stadium (Ar-Riyāḍ (Riyadh))
1502467200,Aug 11 2017 - 4:00pm,complete,655,Al Quadisiya,Al Raed,0.00,0.00,1.20,0.56,2,1,3,1,0,1,"55,84","22",2,3,1,0,2,0,19,9,7,7,12,2,8,14,55,45,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Saud bin Jalawi Stadium (al-Khobar (Khobar))
1502474100,Aug 11 2017 - 5:55pm,complete,3722,Al Ittifaq,Al Ahli,0.00,0.00,1.25,1.70,2,1,3,0,0,0,"58,68","56",2,0,2,0,2,0,10,9,7,7,3,2,7,11,52,48,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1502474100,Aug 11 2017 - 5:55pm,complete,17018,Al Ittihad,Al Batin,0.00,0.00,0.89,1.40,1,3,4,1,0,1,"88","8,68,89",7,2,2,0,1,0,21,11,11,5,10,6,11,9,61,39,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Abdullah Sports City (Jeddah)
1502554200,Aug 12 2017 - 4:10pm,complete,1034,Al Shabab,Ohod,0.00,0.00,1.11,0.75,1,2,3,1,0,1,"82","22,90",7,2,2,0,0,0,23,13,12,6,11,7,16,16,62,38,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1502560500,Aug 12 2017 - 5:55pm,complete,892,Al Faisaly,Al Nassr,0.00,0.00,1.56,1.20,1,3,4,3,0,3,"69","19,23,34",9,2,1,0,1,0,15,8,7,5,8,3,12,23,55,45,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Salman bin Abdulaziz Sport City Stadium (Al Majma'ah)
1502819400,Aug 15 2017 - 5:50pm,complete,8084,Al Taawon,Al Hilal,0.00,0.00,1.80,2.00,3,4,7,6,3,3,"26,35,45'1","14,21,38,56",5,6,2,0,3,0,6,10,6,6,0,4,14,12,42,58,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1502986800,Aug 17 2017 - 4:20pm,complete,2191,Al Raed,Al Faisaly,0.00,0.00,0.80,1.70,2,3,5,2,1,1,"45'2,84","25,75,82",8,9,1,0,0,0,7,12,3,6,4,6,13,8,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1502992200,Aug 17 2017 - 5:50pm,complete,11980,Al Ahli,Al Fateh,0.00,0.00,2.56,1.44,4,0,4,3,3,0,"28,37,42,69","",5,2,0,0,4,0,15,9,7,6,8,3,11,9,66,34,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Abdullah Sports City (Jeddah)
1503072900,Aug 18 2017 - 4:15pm,complete,3967,Al Batin,Ohod,0.00,3.00,0.78,0.75,2,0,2,1,1,0,"36,60","",8,4,2,0,1,0,9,7,6,4,3,3,17,13,55,45,1.50,50,50,50,0,0,0,50,2.00,0.00,0.00,0,0,0,0,0,0,0,0,Al-Batin FC Stadium (Hafar Al-Batin)
1503078600,Aug 18 2017 - 5:50pm,complete,7884,Al Nassr,Al Ittifaq,0.00,0.00,2.00,0.91,2,2,4,1,1,0,"15,51","65,90'3",5,8,3,0,1,0,17,19,7,10,10,9,14,15,50,50,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Fahd International Stadium (Ar-Riyāḍ (Riyadh))
1503158700,Aug 19 2017 - 4:05pm,complete,904,Al Shabab,Al Quadisiya,0.00,0.00,1.11,0.56,4,1,5,3,2,1,"8,17,90,90'2","35",2,4,4,0,1,0,19,17,10,7,9,10,12,14,47,53,1.50,50,50,50,0,0,0,50,7.00,2.00,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1503165000,Aug 19 2017 - 5:50pm,complete,1781,Al Feiha,Al Ittihad,0.00,0.00,1.70,1.90,2,5,7,2,1,1,"35,60","30,71,83,84,88",3,12,2,0,1,0,9,19,4,11,5,8,18,5,42,58,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Salman bin Abdulaziz Sport City Stadium (Al Majma'ah)
1505409900,Sep 14 2017 - 5:25pm,complete,1526,Al Ittifaq,Al Quadisiya,3.00,0.00,1.25,0.56,1,2,3,1,0,1,"60","6,90'3",6,4,1,0,3,0,12,13,11,11,1,2,18,13,58,42,4.00,100,100,100,50,50,50,50,6.00,3.00,0.00,0,0,0,0,0,0,0,0,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1505489100,Sep 15 2017 - 3:25pm,complete,871,Al Fateh,Al Raed,0.00,0.00,1.20,0.56,1,0,1,1,1,0,"37","",12,7,1,0,3,0,13,8,6,4,7,4,18,14,54,46,4.00,100,100,100,50,50,0,100,3.00,5.00,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Jalawi Sports City Stadium (Al-Hasa)
1505490000,Sep 15 2017 - 3:40pm,complete,767,Al Shabab,Al Batin,1.50,3.00,1.11,1.40,1,2,3,0,0,0,"90'1","60,85",7,10,1,0,2,0,19,14,12,7,7,7,16,14,49,51,4.00,100,100,100,75,25,25,100,6.50,4.00,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1505496300,Sep 15 2017 - 5:25pm,complete,751,Al Faisaly,Al Ittihad,0.00,3.00,1.56,1.90,2,1,3,1,0,1,"49,68","18",4,8,0,0,2,0,12,11,8,5,4,6,16,10,47,53,5.50,100,100,100,100,50,100,100,21.00,2.00,0.00,0,0,0,0,0,0,0,0,King Salman bin Abdulaziz Sport City Stadium (Al Majma'ah)
1505576400,Sep 16 2017 - 3:40pm,complete,839,Al Feiha,Al Taawon,0.00,3.00,1.70,1.00,1,1,2,0,0,0,"65","87",0,0,6,0,3,0,0,0,0,0,0,0,19,19,50,50,6.00,100,100,100,100,100,50,100,3.00,2.00,0.00,0,0,0,0,0,0,0,0,King Salman bin Abdulaziz Sport City Stadium (Al Majma'ah)
1505582700,Sep 16 2017 - 5:25pm,complete,4479,Al Hilal,Ohod,3.00,1.50,2.40,0.75,1,0,1,0,0,0,"61","",3,1,1,0,3,0,2,0,2,0,0,0,17,12,63,37,2.75,75,100,75,0,0,50,100,12.00,2.50,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1505669100,Sep 17 2017 - 5:25pm,complete,10108,Al Ahli,Al Nassr,3.00,3.00,2.56,1.20,1,1,2,1,1,0,"8","84",5,4,3,0,3,0,15,13,9,8,6,5,-1,-1,49,51,4.00,50,100,100,100,0,100,100,7.00,1.00,0.00,0,0,0,0,0,0,0,0,King Abdullah Sports City (Jeddah)
1506014400,Sep 21 2017 - 5:20pm,complete,35389,Al Ittihad,Al Hilal,0.00,3.00,0.89,2.00,1,1,2,2,1,1,"12","45'3",6,3,2,0,1,0,11,16,5,11,6,5,14,15,36,64,5.50,100,100,100,100,50,50,100,13.00,5.00,0.00,0,0,0,0,0,0,0,0,King Abdullah Sports City (Jeddah)
1506094500,Sep 22 2017 - 3:35pm,complete,6500,Al Batin,Al Ahli,3.00,0.00,0.78,1.70,1,2,3,2,1,1,"22","18,90'5",6,9,4,0,2,0,4,12,4,6,0,6,14,16,38,62,2.50,50,100,50,0,0,0,50,8.00,4.00,0.00,0,0,0,0,0,0,0,0,Al-Batin FC Stadium (Hafar Al-Batin)
1506096000,Sep 22 2017 - 4:00pm,complete,1570,Ohod,Al Fateh,0.00,0.00,0.82,1.44,0,2,2,1,0,1,"","43,60",2,4,1,0,3,1,12,12,7,6,5,6,13,15,55,45,2.00,0,50,50,50,0,50,50,2.00,4.00,0.00,0,0,0,0,0,0,0,0,Prince Mohammed bin Abdul Aziz Stadium (Medina)
1506100800,Sep 22 2017 - 5:20pm,complete,3014,Al Nassr,Al Feiha,1.00,0.00,2.00,1.00,2,2,4,1,0,1,"51,61","19,58",4,9,1,0,0,0,17,17,6,9,11,8,9,17,60,40,3.50,100,100,100,50,0,50,100,5.00,8.00,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1506179700,Sep 23 2017 - 3:15pm,complete,2527,Al Ittifaq,Al Shabab,1.50,0.00,1.25,1.50,2,3,5,3,1,2,"35,57","37,40,89",5,6,1,0,2,0,15,14,11,10,4,4,7,16,59,41,1.50,50,50,50,0,0,0,25,4.00,1.50,0.00,0,0,0,0,0,0,0,0,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1506179700,Sep 23 2017 - 3:15pm,complete,929,Al Quadisiya,Al Faisaly,3.00,3.00,1.20,1.70,1,1,2,0,0,0,"64","49",5,1,3,0,2,0,16,7,5,3,11,4,19,25,59,41,4.00,100,100,100,50,50,50,100,11.00,1.00,0.00,0,0,0,0,0,0,0,0,Prince Saud bin Jalawi Stadium (al-Khobar (Khobar))
1506187200,Sep 23 2017 - 5:20pm,complete,17003,Al Raed,Al Taawon,0.00,2.00,0.80,1.00,2,2,4,2,1,1,"11,54","22,74",7,2,4,0,4,0,10,9,6,5,4,4,14,14,47,53,4.25,100,100,75,75,75,50,75,8.00,2.50,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1506612600,Sep 28 2017 - 3:30pm,complete,2713,Al Batin,Al Fateh,1.50,1.50,0.78,1.44,0,0,0,0,0,0,"","",4,2,0,0,2,0,5,9,2,6,3,3,15,23,60,40,2.75,25,100,50,25,0,50,100,10.00,7.00,0.00,0,0,0,0,0,0,0,0,Al-Batin FC Stadium (Hafar Al-Batin)
1506618900,Sep 28 2017 - 5:15pm,complete,5004,Al Taawon,Al Ittihad,0.00,1.50,1.80,1.90,1,2,3,1,0,1,"47","19,52",8,4,0,0,1,0,15,10,3,4,12,6,9,10,60,40,6.00,100,100,100,75,75,75,100,15.00,3.50,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1506699000,Sep 29 2017 - 3:30pm,complete,930,Al Feiha,Ohod,0.50,1.00,1.70,0.75,1,0,1,0,0,0,"56","",6,5,1,0,3,0,13,10,6,2,7,8,14,16,54,46,3.25,67,84,42,25,25,25,59,3.83,5.33,0.00,0,0,0,0,0,0,0,0,King Salman bin Abdulaziz Sport City Stadium (Al Majma'ah)
1506705300,Sep 29 2017 - 5:15pm,complete,3688,Al Shabab,Al Nassr,1.00,2.00,1.11,1.20,0,1,1,0,0,0,"","67",6,6,1,1,0,0,19,21,10,13,9,8,14,14,37,63,3.34,100,100,75,42,17,42,84,8.33,4.33,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1506785400,Sep 30 2017 - 3:30pm,complete,275,Al Faisaly,Al Ittifaq,1.50,1.00,1.56,0.91,3,0,3,1,1,0,"14,60,90'3","",3,10,2,0,0,0,6,11,5,3,1,8,16,13,39,61,3.75,100,100,100,75,0,25,100,14.50,1.50,0.00,0,0,0,0,0,0,0,0,King Salman bin Abdulaziz Sport City Stadium (Al Majma'ah)
1506791700,Sep 30 2017 - 5:15pm,complete,5310,Al Ahli,Al Raed,2.00,0.00,2.56,0.56,5,3,8,1,1,0,"3,46,57,63,90'2","71,77,90'4",5,5,0,0,1,0,18,19,13,10,5,9,7,7,59,41,2.50,50,75,50,25,0,25,100,10.00,4.00,0.00,0,0,0,0,0,0,0,0,King Abdullah Sports City (Jeddah)
1506791700,Sep 30 2017 - 5:15pm,complete,3319,Al Hilal,Al Quadisiya,3.00,1.50,2.40,0.56,2,1,3,1,1,0,"12,59","51",6,4,3,0,1,0,19,18,6,11,13,7,19,12,62,38,3.00,75,75,75,25,25,50,75,10.00,3.50,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1507906500,Oct 13 2017 - 2:55pm,complete,2806,Al Fateh,Al Quadisiya,1.50,1.00,1.20,0.56,2,1,3,0,0,0,"56,70","90'3",7,5,4,1,4,0,13,17,6,10,7,7,18,13,44,56,3.34,75,75,75,42,42,17,100,10.00,3.67,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Jalawi Sports City Stadium (Al-Hasa)
1507914000,Oct 13 2017 - 5:00pm,complete,7118,Al Ittihad,Ohod,0.50,0.75,0.89,0.75,2,2,4,3,1,2,"10,52","11,22",8,5,3,0,3,1,15,17,11,12,4,5,10,18,58,42,2.38,63,75,38,25,0,25,75,9.50,3.75,0.00,0,0,0,0,0,0,0,0,King Abdullah Sports City (Jeddah)
1507992900,Oct 14 2017 - 2:55pm,complete,503,Al Ittifaq,Al Batin,1.00,3.00,1.25,1.40,1,3,4,2,1,1,"12","35,61,69",1,4,3,0,2,0,11,5,4,3,7,2,15,15,48,52,3.59,100,100,100,42,17,17,59,10.33,2.83,0.00,0,0,0,0,0,0,0,0,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1508000400,Oct 14 2017 - 5:00pm,complete,2633,Al Shabab,Al Ahli,0.75,1.50,1.11,1.70,2,5,7,4,1,3,"8,86","3,11,24,61,84",6,6,1,0,2,0,23,17,12,12,11,5,10,17,51,49,3.00,88,88,88,13,13,38,50,10.00,4.25,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1508000400,Oct 14 2017 - 5:00pm,complete,2316,Al Faisaly,Al Feiha,2.00,0.50,1.56,1.00,2,1,3,1,1,0,"41,59","90'1",3,17,4,0,2,0,6,16,0,7,6,9,23,21,35,65,3.42,84,100,100,42,0,42,100,9.83,3.50,0.00,0,0,0,0,0,0,0,0,King Salman bin Abdulaziz Sport City Stadium (Al Majma'ah)
1508086800,Oct 15 2017 - 5:00pm,complete,1915,Al Nassr,Al Taawon,1.00,1.67,2.00,1.00,2,1,3,2,1,1,"38,51","43",4,3,1,0,1,0,15,7,7,5,8,2,18,19,49,51,3.84,100,100,84,84,17,17,84,5.17,4.33,0.00,0,0,0,0,0,0,0,0,King Fahd International Stadium (Ar-Riyāḍ (Riyadh))
1508424600,Oct 19 2017 - 2:50pm,complete,741,Al Quadisiya,Al Feiha,2.00,0.33,1.20,1.00,1,1,2,1,1,0,"44","58",4,2,1,0,3,0,12,13,3,8,9,5,17,15,56,44,2.92,100,100,75,17,0,17,75,12.17,4.33,0.00,0,0,0,0,0,0,0,0,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1508425800,Oct 19 2017 - 3:10pm,complete,3128,Al Raed,Al Shabab,0.50,3.00,0.80,1.50,2,2,4,2,0,2,"51,60","5,14",10,5,0,0,4,0,6,12,4,3,2,9,9,18,55,45,4.75,100,100,100,100,75,100,100,13.50,4.50,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1508432100,Oct 19 2017 - 4:55pm,complete,7866,Ohod,Al Nassr,0.00,2.33,0.82,1.20,2,2,4,2,2,0,"27,45'4","70,85",0,17,2,0,1,0,6,10,4,6,2,4,10,18,33,67,2.17,34,84,17,17,0,17,84,6.00,2.33,0.00,0,0,0,0,0,0,0,0,Prince Mohammed bin Abdul Aziz Stadium (Medina)
