,home_team_name,away_team_name,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_red_cards,away_team_red_cards,home_team_shots_on_target,away_team_shots_on_target,home_team_fouls,away_team_fouls,Result
60,Al Taawon,Al Shabab,1.38,1.0,3,3,6,2,0,0,2,-1,-1,0,0,-1,-1,-1,-1,0
61,Al Fateh,Al Ahli,1.69,1.62,0,3,3,0,0,0,0,1,9,1,0,2,0,14,14,-3
62,Al Nahdha,Al Ittihad,1.0,0.92,4,4,8,2,0,0,2,3,2,0,0,0,4,20,13,0
63,Al Shabab,Al Nahdha,1.85,0.23,6,0,6,3,3,3,0,4,4,0,0,10,6,17,20,6
64,Al Fateh,Najran,1.69,0.62,5,2,7,4,4,4,0,7,3,0,0,0,0,20,11,3
65,Al Ittifaq,Al Orubah,1.23,1.23,0,0,0,0,0,0,0,-1,-1,0,2,-1,-1,-1,-1,0
66,Al Ahli,Al Taawon,1.85,1.31,1,2,3,1,0,0,1,15,0,0,0,10,2,10,11,-1
67,Al Hilal,Al Nassr,2.54,2.38,1,2,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
68,Al Raed,Al Ittihad,1.23,0.92,1,4,5,2,0,0,2,-1,-1,1,0,-1,-1,-1,-1,-3
69,Al Faisaly,Al Shoalah,1.62,1.08,2,0,2,0,0,0,0,11,5,0,0,0,2,15,19,2
70,Al Shabab,Al Ahli,1.85,1.62,1,0,1,0,0,0,0,6,8,0,0,6,8,13,17,1
71,Al Orubah,Al Nahdha,1.0,0.23,1,1,2,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,0
72,Najran,Al Faisaly,1.54,0.85,1,0,1,0,0,0,0,9,4,0,0,8,6,10,11,1
73,Al Ittihad,Al Nassr,1.54,2.38,0,3,3,1,0,0,1,2,8,0,0,2,4,26,10,-3
74,Al Taawon,Al Raed,1.38,1.0,2,1,3,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1
75,Al Shoalah,Al Hilal,0.92,2.31,2,2,4,0,0,0,0,2,8,0,0,0,10,20,8,0
76,Al Ittifaq,Al Fateh,1.23,0.46,2,0,2,0,0,0,0,2,4,0,0,4,2,15,6,2
77,Al Fateh,Al Raed,1.69,1.0,2,2,4,3,1,1,2,3,5,0,0,2,2,27,15,0
78,Al Taawon,Al Orubah,1.38,1.23,0,1,1,1,0,0,1,9,5,0,1,5,0,11,14,-1
79,Al Nahdha,Al Hilal,1.0,2.31,1,2,3,2,1,1,1,2,4,0,0,0,3,17,20,-1
80,Al Faisaly,Al Ittifaq,1.62,0.77,0,3,3,2,0,0,2,-1,-1,1,0,-1,-1,-1,-1,-3
81,Al Shoalah,Al Ittihad,0.92,0.92,2,1,3,2,1,1,1,5,3,0,0,9,8,20,9,1
82,Al Nassr,Al Shabab,2.62,1.0,3,2,5,0,0,0,0,8,7,0,1,7,8,12,18,1
83,Al Ahli,Najran,1.85,0.62,3,2,5,4,2,2,2,8,2,0,0,4,3,17,12,1
84,Al Nassr,Al Taawon,2.62,1.31,2,1,3,1,1,1,0,4,3,0,0,9,6,14,12,1
85,Al Raed,Al Shoalah,1.23,1.08,0,1,1,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
86,Al Orubah,Al Shabab,1.0,1.0,1,1,2,1,0,0,1,5,5,0,0,4,8,15,8,0
87,Al Ittifaq,Al Ahli,1.23,1.62,2,0,2,2,2,2,0,5,6,0,2,7,5,26,13,2
88,Al Hilal,Al Fateh,2.54,0.46,2,0,2,1,1,1,0,4,4,0,0,9,9,18,16,2
89,Al Ittihad,Najran,1.54,0.62,3,2,5,1,1,1,0,9,7,0,0,8,4,12,12,1
90,Al Nahdha,Al Faisaly,1.0,0.85,0,0,0,0,0,0,0,7,6,0,0,4,4,13,13,0
91,Al Ittifaq,Al Raed,1.23,1.0,0,1,1,0,0,0,0,7,1,0,0,6,2,12,18,-1
92,Najran,Al Nassr,1.54,2.38,2,3,5,3,1,1,2,5,2,0,0,5,2,25,17,-1
93,Al Ahli,Al Faisaly,1.85,0.85,1,1,2,1,0,0,1,11,3,1,0,8,6,11,27,0
94,Al Shoalah,Al Nahdha,0.92,0.23,0,0,0,0,0,0,0,6,2,0,0,7,3,13,17,0
95,Al Taawon,Al Fateh,1.38,0.46,1,0,1,0,0,0,0,0,8,0,0,2,7,15,16,1
96,Al Orubah,Al Hilal,1.0,2.31,2,3,5,1,1,1,0,2,13,0,0,6,14,10,7,-1
97,Al Ittihad,Al Shabab,1.54,1.0,1,1,2,1,1,1,0,2,6,1,0,3,4,19,14,0
98,Al Shabab,Al Shoalah,1.85,1.08,1,3,4,2,1,1,1,9,2,0,0,8,5,14,13,-2
99,Al Faisaly,Al Taawon,1.62,1.31,0,0,0,0,0,0,0,4,3,0,0,5,4,14,15,0
100,Al Nahdha,Al Fateh,1.0,0.46,1,2,3,1,0,0,1,4,4,0,0,4,5,14,22,-1
101,Al Hilal,Al Ittifaq,2.54,0.77,5,1,6,3,2,2,1,8,2,0,1,5,8,11,10,4
102,Al Raed,Najran,1.23,0.62,1,0,1,0,0,0,0,3,2,0,0,4,6,18,19,1
103,Al Ittihad,Al Orubah,1.54,1.23,0,0,0,0,0,0,0,5,6,0,0,3,6,19,17,0
104,Al Nassr,Al Ahli,2.62,1.62,3,1,4,2,1,1,1,3,2,1,2,8,5,9,23,2
105,Al Fateh,Al Ittihad,1.69,0.92,1,1,2,0,0,0,0,2,3,0,0,2,4,17,15,0
106,Al Raed,Al Shabab,1.23,1.0,0,0,0,0,0,0,0,2,7,0,0,5,6,15,13,0
107,Al Hilal,Al Faisaly,2.54,0.85,2,1,3,2,1,1,1,12,3,0,0,12,4,12,6,1
108,Al Shoalah,Al Ittifaq,0.92,0.77,4,0,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,4
109,Al Taawon,Najran,1.38,0.62,2,0,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,2
110,Al Orubah,Al Ahli,1.0,1.62,0,4,4,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-4
111,Al Nahdha,Al Nassr,1.0,2.38,1,4,5,1,0,0,1,3,2,0,0,5,2,29,14,-3
112,Najran,Al Shoalah,1.54,1.08,0,1,1,1,0,0,1,5,1,0,1,8,0,28,26,-1
113,Al Ittifaq,Al Taawon,1.23,1.31,3,3,6,2,2,2,0,7,2,0,0,3,3,15,11,0
114,Al Ittihad,Al Hilal,1.54,2.31,2,2,4,3,2,2,1,4,4,0,0,7,6,15,16,0
115,Al Fateh,Al Shabab,1.69,1.0,2,1,3,1,1,1,0,5,3,0,0,0,3,18,3,1
116,Al Nassr,Al Raed,2.62,1.0,3,0,3,1,1,1,0,10,2,0,1,6,2,11,17,3
117,Al Faisaly,Al Orubah,1.62,1.23,1,1,2,2,1,1,1,-1,-1,0,1,-1,-1,-1,-1,0
118,Al Ahli,Al Nahdha,1.85,0.23,3,1,4,2,1,1,1,12,0,0,0,5,0,13,13,2
119,Al Shoalah,Al Nassr,0.92,2.38,0,3,3,0,0,0,0,5,6,1,0,5,8,16,10,-3
120,Al Taawon,Al Ittihad,1.38,0.92,1,1,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0
121,Al Ittifaq,Najran,1.23,0.62,0,0,0,0,0,0,0,8,1,0,0,5,3,17,7,0
122,Al Hilal,Al Ahli,2.54,1.62,1,0,1,1,1,1,0,3,14,0,0,7,5,12,12,1
123,Al Shabab,Al Faisaly,1.85,0.85,4,3,7,2,0,0,2,15,1,0,0,10,4,7,20,1
124,Al Orubah,Al Fateh,1.0,0.46,2,1,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,1
125,Al Nahdha,Al Raed,1.0,1.0,1,0,1,0,0,0,0,5,4,0,0,5,3,31,12,1
126,Al Shabab,Al Ittifaq,1.85,0.77,0,0,0,0,0,0,0,6,5,0,0,9,8,14,26,0
127,Al Faisaly,Al Fateh,1.62,0.46,2,1,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,1
128,Al Taawon,Al Shoalah,1.38,1.08,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
129,Al Ahli,Al Ittihad,1.85,0.92,2,1,3,2,2,2,0,3,3,0,0,5,9,13,16,1
130,Al Raed,Al Hilal,1.23,2.31,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
131,Najran,Al Nahdha,1.54,0.23,5,1,6,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,4
132,Al Nassr,Al Orubah,2.62,1.23,2,1,3,1,0,0,1,10,2,0,0,11,6,11,18,1
133,Al Fateh,Al Nassr,1.69,2.38,1,2,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1
134,Al Hilal,Al Taawon,2.54,1.31,1,0,1,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
135,Al Shoalah,Al Ahli,0.92,1.62,1,1,2,1,0,0,1,1,6,1,0,2,5,18,22,0
136,Al Orubah,Al Raed,1.0,1.0,0,0,0,0,0,0,0,-1,-1,1,0,-1,-1,-1,-1,0
137,Al Nahdha,Al Ittifaq,1.0,0.77,2,0,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
138,Najran,Al Shabab,1.54,1.0,1,1,2,1,0,0,1,3,8,2,0,4,6,14,15,0
139,Al Ittihad,Al Faisaly,1.54,0.85,1,2,3,2,1,1,1,6,8,0,0,4,4,19,12,-1
140,Al Raed,Al Ahli,1.23,1.62,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
141,Al Shabab,Al Hilal,1.85,2.31,1,0,1,0,0,0,0,3,3,0,0,5,6,12,16,1
142,Al Orubah,Najran,1.0,0.62,1,1,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0
143,Al Fateh,Al Shoalah,1.69,1.08,3,1,4,0,0,0,0,4,1,0,0,3,0,17,20,2
144,Al Taawon,Al Nahdha,1.38,0.23,4,1,5,2,2,2,0,2,5,0,0,3,4,17,10,3
145,Al Nassr,Al Faisaly,2.62,0.85,4,0,4,1,1,1,0,2,6,0,0,11,8,18,10,4
146,Al Ittifaq,Al Ittihad,1.23,0.92,2,5,7,4,1,1,3,-1,-1,0,0,-1,-1,-1,-1,-3
147,Al Faisaly,Al Raed,1.62,1.0,3,2,5,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
148,Al Shoalah,Al Orubah,0.92,1.23,1,2,3,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
149,Al Shabab,Al Taawon,1.85,1.31,1,0,1,1,1,1,0,9,3,0,0,3,5,15,14,1
150,Al Hilal,Najran,2.54,0.62,2,0,2,0,0,0,0,12,2,0,0,10,6,10,8,2
151,Al Ittifaq,Al Nassr,1.23,2.38,1,2,3,3,1,1,2,4,0,0,0,4,3,23,15,-1
152,Al Ittihad,Al Nahdha,1.54,0.23,2,1,3,3,2,2,1,2,3,0,0,4,4,23,12,1
153,Al Ahli,Al Fateh,1.85,0.46,4,0,4,3,3,3,0,5,4,0,0,5,5,14,8,4
154,Al Nahdha,Al Shabab,1.0,1.0,4,1,5,1,1,1,0,5,6,0,2,7,10,18,15,3
155,Najran,Al Fateh,1.54,0.46,1,1,2,1,1,1,0,-1,-1,1,0,-1,-1,-1,-1,0
156,Al Ittihad,Al Raed,1.54,1.0,1,2,3,1,0,0,1,8,3,0,0,5,3,15,14,-1
157,Al Nassr,Al Hilal,2.62,2.31,3,4,7,3,1,1,2,17,1,0,1,6,5,11,12,-1
158,Al Taawon,Al Ahli,1.38,1.62,1,1,2,1,0,0,1,3,6,0,0,2,7,12,13,0
159,Al Shoalah,Al Faisaly,0.92,0.85,1,1,2,0,0,0,0,3,8,0,0,3,4,17,6,0
160,Al Orubah,Al Ittifaq,1.0,0.77,1,4,5,3,1,1,2,5,4,0,0,8,4,13,14,-3
161,Al Raed,Al Taawon,1.23,1.31,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
162,Al Nahdha,Al Orubah,1.0,1.23,2,2,4,1,1,1,0,-1,-1,0,1,-1,-1,-1,-1,0
163,Al Faisaly,Najran,1.62,0.62,1,0,1,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
164,Al Nassr,Al Ittihad,2.62,0.92,3,1,4,3,3,3,0,-1,-1,0,0,-1,-1,-1,-1,2
165,Al Hilal,Al Shoalah,2.54,1.08,2,0,2,1,1,1,0,4,2,0,0,7,5,15,12,2
166,Al Ahli,Al Shabab,1.85,1.0,1,1,2,2,1,1,1,2,3,0,0,3,4,16,13,0
167,Al Fateh,Al Ittifaq,1.69,0.77,2,0,2,1,1,1,0,6,7,0,0,3,2,16,14,2
168,Al Orubah,Al Taawon,1.0,1.31,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
169,Al Raed,Al Fateh,1.23,0.46,2,1,3,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,1
170,Al Hilal,Al Nahdha,2.54,0.23,6,0,6,2,2,2,0,3,1,0,0,5,8,23,12,6
171,Al Ittifaq,Al Faisaly,1.23,0.85,1,1,2,1,1,1,0,6,2,0,0,3,2,16,7,0
172,Najran,Al Ahli,1.54,1.62,0,5,5,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-5
173,Al Ittihad,Al Shoalah,1.54,1.08,4,1,5,1,1,1,0,5,2,0,0,5,2,10,21,3
174,Al Shabab,Al Nassr,1.85,2.38,1,1,2,1,0,0,1,5,6,0,0,8,4,8,14,0
175,Al Shabab,Al Orubah,1.85,1.23,1,3,4,2,0,0,2,4,4,0,0,5,9,8,11,-2
176,Al Ahli,Al Ittifaq,1.85,0.77,2,1,3,2,1,1,1,7,3,0,0,4,2,10,16,1
177,Al Shoalah,Al Raed,0.92,1.0,1,1,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0
178,Al Taawon,Al Nassr,1.38,2.38,1,1,2,1,0,0,1,5,9,0,0,2,3,17,9,0
179,Najran,Al Ittihad,1.54,0.92,2,0,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,2
180,Al Faisaly,Al Nahdha,1.62,0.23,2,1,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
181,Al Fateh,Al Hilal,1.69,2.31,0,1,1,1,0,0,1,3,1,0,0,4,3,7,18,-1
182,Al Ittihad,Al Faisaly,2.0,1.15,2,1,3,0,0,0,0,4,2,0,0,4,2,11,28,1
183,Al Hilal,Al Orubah,2.38,0.15,4,1,5,2,2,2,0,-1,-1,0,0,-1,-1,-1,-1,3
184,Al Shoalah,Al Hilal,1.38,1.77,1,3,4,2,0,0,2,-1,-1,0,0,-1,-1,-1,-1,-2
185,Al Ittihad,Al Fateh,2.0,0.92,1,0,1,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
186,Al Orubah,Al Taawon,1.15,0.92,4,3,7,4,3,3,1,-1,-1,0,0,-1,-1,-1,-1,1
187,Al Faisaly,Al Raed,1.15,0.46,1,0,1,0,0,0,0,-1,-1,1,0,-1,-1,-1,-1,1
188,Al Nassr,Najran,2.31,1.0,4,1,5,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,3
189,Al Shabab,Al Khaleej,1.54,1.0,2,0,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
190,Al Ahli,Hajer,2.23,0.77,6,1,7,2,2,2,0,6,1,0,0,6,0,27,19,5
191,Al Khaleej,Al Shoalah,1.23,0.23,1,1,2,2,1,1,1,-1,-1,0,1,-1,-1,-1,-1,0
192,Hajer,Al Taawon,1.38,0.92,2,0,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
193,Al Fateh,Al Shabab,1.62,1.54,0,2,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-2
194,Najran,Al Ahli,0.85,2.38,1,1,2,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,0
195,Al Raed,Al Nassr,1.54,2.62,1,2,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
196,Al Fateh,Al Faisaly,1.62,1.15,1,2,3,3,1,1,2,-1,-1,0,0,-1,-1,-1,-1,-1
197,Al Shabab,Hajer,1.54,0.77,2,0,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
198,Al Orubah,Al Raed,1.15,0.46,2,1,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
199,Al Taawon,Najran,1.23,1.0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
200,Al Khaleej,Al Nassr,1.23,2.62,0,1,1,1,0,0,1,3,8,1,0,3,6,16,7,-1
201,Al Shoalah,Al Ittihad,1.38,2.0,1,3,4,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-2
202,Al Hilal,Al Ahli,2.38,2.38,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
203,Al Faisaly,Hajer,1.15,0.77,2,0,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,2
204,Al Raed,Al Taawon,1.54,0.92,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
205,Al Hilal,Najran,2.38,1.0,2,1,3,2,2,2,0,-1,-1,0,1,-1,-1,-1,-1,1
206,Al Shabab,Al Shoalah,1.54,0.23,2,1,3,2,2,2,0,7,8,0,0,6,11,15,8,1
207,Al Ittihad,Al Orubah,2.0,0.15,2,1,3,1,0,0,1,17,2,0,0,2,0,12,19,1
208,Al Nassr,Al Fateh,2.31,0.92,4,2,6,1,1,1,0,6,4,0,0,7,3,17,12,2
209,Al Ahli,Al Khaleej,2.23,1.0,2,1,3,1,1,1,0,11,3,0,0,6,3,15,8,1
210,Hajer,Al Raed,1.38,0.46,2,1,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,1
211,Al Orubah,Al Faisaly,1.15,1.15,1,1,2,0,0,0,0,-1,-1,0,1,-1,-1,-1,-1,0
212,Al Ahli,Al Shabab,2.23,1.54,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
213,Al Shoalah,Al Nassr,1.38,2.62,1,2,3,1,0,0,1,-1,-1,0,1,-1,-1,-1,-1,-1
214,Al Taawon,Al Fateh,1.23,0.92,1,2,3,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-1
215,Najran,Al Ittihad,0.85,2.0,1,2,3,3,1,1,2,-1,-1,0,0,-1,-1,-1,-1,-1
216,Al Hilal,Al Khaleej,2.38,1.0,3,0,3,3,3,3,0,7,6,0,0,11,9,15,13,3
217,Al Fateh,Al Hilal,1.62,1.77,1,2,3,1,0,0,1,-1,-1,1,0,-1,-1,-1,-1,-1
218,Al Raed,Al Ittihad,1.54,2.0,0,1,1,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
219,Al Shoalah,Al Ahli,1.38,2.38,0,2,2,1,0,0,1,-1,-1,1,0,-1,-1,-1,-1,-2
220,Al Faisaly,Al Taawon,1.15,0.92,2,2,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0
221,Al Shabab,Najran,1.54,1.0,2,1,3,1,1,1,0,5,4,0,0,8,10,16,17,1
222,Al Khaleej,Hajer,1.23,0.77,2,2,4,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,0
223,Al Nassr,Al Orubah,2.31,0.15,2,1,3,1,1,1,0,12,3,0,0,14,4,4,22,1
224,Hajer,Al Orubah,1.38,0.15,1,0,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1
225,Najran,Al Faisaly,0.85,1.15,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
226,Al Taawon,Al Shoalah,1.23,0.23,3,0,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,3
227,Al Fateh,Al Raed,1.62,0.46,3,2,5,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
