full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Waleed Abdullah Ali,32,Professional League,2016/2017,Goalkeeper,Al Shabab,1800,900,900,Saudi Arabia,20,10,10,0,0,0,0,0,0,0,0,7,4,3,25,8,17,1,0,0,0,0,0,0,0,1.25,72,90,1800,0,0.05,214,210,38,18
Abdullah Ahmed Al Asta,32,Professional League,2016/2017,Defender,Al Shabab,2078,1138,940,Saudi Arabia,24,13,11,1,1,0,1,1,0,0,0,6,3,3,26,14,12,2,0,0.09,0.04,0.04,0.08,0,2078,1.13,80,87,1039,2078,0.09,151,153,28,10
Hassan Muath Fallatah,32,Professional League,2016/2017,Defender,Al Shabab,2114,1080,1034,Saudi Arabia,24,12,11,1,0,1,3,1,2,0,0,6,3,3,29,15,14,4,0,0.17,0.13,0.04,0,0.09,2114,1.23,73,88,529,705,0.17,157,91,35,6
Sanad Ahmad Shrahilee,32,Professional League,2016/2017,Defender,Al Shabab,287,90,197,Saudi Arabia,4,1,2,0,0,0,0,0,0,0,0,2,1,1,3,0,3,1,0,0,0,0,0,0,0,0.94,96,72,287,0,0.31,241,238,17,28
Abdullah Al Fahad,24,Professional League,2016/2017,Defender,Al Shabab,2053,990,1063,Saudi Arabia,23,11,12,1,1,0,1,0,1,0,0,6,3,3,27,13,14,6,0,0.09,0.04,0.04,0.09,0,2053,1.18,76,89,342,2053,0.26,153,156,30,7
Ahmed Ibrahim Ateef,35,Professional League,2016/2017,Midfielder,Al Shabab,952,401,551,Saudi Arabia,14,5,6,1,1,0,1,1,0,0,0,3,2,1,15,6,9,3,0,0.19,0.09,0.09,0.22,0,952,1.42,63,68,317,952,0.28,126,120,-1,8
Bader Mansoor Al Sulaiteen,28,Professional League,2016/2017,Midfielder,Al Shabab,478,187,291,Saudi Arabia,14,1,3,0,0,0,0,0,0,0,0,4,3,1,5,0,5,2,0,0,0,0,0,0,0,0.94,96,34,239,0,0.38,242,239,-1,27
Abdulmajeed Mohammed Al Sulaiheem,24,Professional League,2016/2017,Midfielder,Al Shabab,1810,972,838,Saudi Arabia,22,11,10,3,1,2,2,1,1,0,0,6,3,3,26,14,12,3,0,0.25,0.1,0.15,0.09,0.21,603,1.29,70,82,603,905,0.15,98,119,-1,3
Abdulmalek Al Shammary,23,Professional League,2016/2017,Midfielder,Al Shabab,97,75,22,Saudi Arabia,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,-1,-1,-1,26
Mohamed Benyettou,29,Professional League,2016/2017,Forward,Al Shabab,1890,955,935,Algeria,22,11,10,10,6,4,1,0,1,2,1,4,2,2,27,15,12,2,0,0.52,0.05,0.48,0.57,0.39,189,1.29,70,86,945,1890,0.1,26,151,-1,1
Ismael Mohammedjammui Al Maghrabi,27,Professional League,2016/2017,Forward,Al Shabab,773,302,471,Saudi Arabia,13,4,6,2,0,2,0,0,0,0,0,3,2,1,10,2,8,2,0,0.23,0,0.23,0,0.38,387,1.16,77,59,387,0,0.23,70,240,-1,4
Abdulaziz Ali Al Bishi,24,Professional League,2016/2017,Midfielder,Al Shabab,936,474,462,Saudi Arabia,21,4,5,1,1,0,1,1,0,0,0,6,3,3,14,8,6,0,0,0.19,0.1,0.1,0.19,0,936,1.35,67,45,0,936,0,123,116,-1,9
Abdullah Alsubaey,24,Professional League,2016/2017,Midfielder,Al Shabab,845,357,488,Saudi Arabia,16,4,5,0,0,0,0,0,0,0,0,2,1,1,10,5,5,3,0,0,0,0,0,0,0,1.07,85,53,282,0,0.32,243,241,-1,25
Abdullah Almegbas,22,Professional League,2016/2017,Forward,Al Shabab,104,39,65,Saudi Arabia,5,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,-1,-1,-1,24
Mohammed Khalil Al Owais,27,Professional League,2016/2017,Goalkeeper,Al Shabab,90,0,90,Saudi Arabia,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,19
Saleh Saad Al Qumayzi,27,Professional League,2016/2017,Defender,Al Shabab,421,122,299,Saudi Arabia,9,1,4,0,0,0,2,0,2,0,0,1,0,1,9,3,6,0,0,0.43,0.43,0,0,0,0,1.92,47,47,0,211,0,244,7,105,23
Abdul Wahab Jafar,25,Professional League,2016/2017,Midfielder,Al Shabab,1333,560,773,Saudi Arabia,18,7,9,1,0,1,3,0,3,0,0,5,2,3,15,6,9,3,0,0.27,0.2,0.07,0,0.12,1333,1.01,89,74,444,444,0.2,135,54,-1,11
Amer Mohammed Haroon,26,Professional League,2016/2017,Defender,Al Wahda,401,153,248,Saudi Arabia,5,2,3,0,0,0,0,0,0,0,0,0,0,0,16,5,11,0,0,0,0,0,0,0,0,3.59,25,80,0,0,0,245,242,123,20
Faisal Al Masrahi,25,Professional League,2016/2017,Goalkeeper,Al Quadisiya,1980,1080,900,Saudi Arabia,22,12,10,0,0,0,0,0,0,0,0,3,2,1,30,15,15,4,0,0,0,0,0,0,0,1.36,66,90,495,0,0.18,246,243,57,18
Abdulrahman Al Obaid,25,Professional League,2016/2017,Defender,Al Quadisiya,2250,1170,1080,Saudi Arabia,25,13,12,1,0,1,6,2,4,0,0,3,2,1,35,16,19,3,0,0.28,0.24,0.04,0,0.08,2250,1.4,64,90,750,375,0.12,155,40,59,13
Yaseen Barnawi,25,Professional League,2016/2017,Defender,Al Quadisiya,2013,1023,990,Saudi Arabia,23,12,11,0,0,0,0,0,0,0,0,3,2,1,30,14,16,11,0,0,0,0,0,0,0,1.34,67,88,183,0,0.49,247,244,54,23
Abdulmuhsen Fallatah,24,Professional League,2016/2017,Defender,Al Quadisiya,1797,820,977,Saudi Arabia,22,8,11,5,2,3,0,0,0,0,0,3,2,1,30,12,18,3,1,0.25,0,0.25,0.22,0.28,359,1.5,60,82,599,0,0.15,65,245,70,3
Ali Abdullah Hazzazi,24,Professional League,2016/2017,Defender,Al Quadisiya,180,75,105,Saudi Arabia,4,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,90,45,0,0,0,-1,-1,-1,22
