full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Mohammed Khubrani,25,Professional League,2016/2017,Defender,Al Quadisiya,2128,1048,1080,Saudi Arabia,24,12,12,1,1,0,1,0,1,0,0,3,2,1,32,13,19,8,1,0.08,0.04,0.04,0.09,0,2128,1.35,67,89,266,2128,0.34,148,152,55,12
Naif Hazazi,26,Professional League,2016/2017,Midfielder,Al Quadisiya,1793,990,803,Saudi Arabia,21,11,9,1,1,0,1,1,0,0,1,2,1,1,29,15,14,2,0,0.1,0.05,0.05,0.09,0,1793,1.46,62,85,897,1793,0.1,143,150,-1,11
Ahmed Karenshi,30,Professional League,2016/2017,Midfielder,Al Quadisiya,532,180,352,Saudi Arabia,8,2,5,0,0,0,1,1,0,0,0,1,0,1,8,3,5,3,1,0.17,0.17,0,0,0,0,1.35,67,67,177,532,0.51,248,70,-1,21
Hassan Alamiri,24,Professional League,2016/2017,Midfielder,Al Quadisiya,1089,587,502,Saudi Arabia,21,7,6,2,2,0,0,0,0,0,0,2,1,1,19,9,10,5,0,0.17,0,0.17,0.31,0,545,1.57,57,52,218,0,0.41,86,246,-1,8
Wesam Waheab Mudhaya,26,Professional League,2016/2017,Forward,Al Quadisiya,579,265,314,Saudi Arabia,14,3,2,1,1,0,1,1,0,0,0,2,1,1,8,3,5,2,0,0.31,0.16,0.16,0.34,0,579,1.24,72,41,290,579,0.31,97,80,-1,10
Patrick Friday Eze,25,Professional League,2016/2017,Forward,Al Quadisiya,1856,911,945,Nigeria,24,11,12,5,2,3,5,4,1,0,0,2,1,1,30,13,17,2,0,0.48,0.24,0.24,0.2,0.29,371,1.45,62,77,928,371,0.1,69,44,-1,2
Bismark de Araújo Ferreira,25,Professional League,2016/2017,Forward,Al Quadisiya,1712,919,793,Brazil,23,12,10,8,4,4,1,0,1,0,0,3,2,1,25,12,13,3,0,0.47,0.05,0.42,0.39,0.45,214,1.31,68,74,571,1712,0.16,37,144,-1,1
Mazen Abu Shararah,27,Professional League,2016/2017,Forward,Al Quadisiya,555,301,254,Saudi Arabia,21,2,1,2,1,1,0,0,0,0,0,2,1,1,9,5,4,1,0,0.32,0,0.32,0.3,0.35,278,1.46,62,26,555,0,0.16,49,237,-1,7
Nawaf Al Sabhi,31,Professional League,2016/2017,Defender,Al Quadisiya,872,512,360,Saudi Arabia,13,6,4,1,1,0,0,0,0,0,0,2,2,0,12,6,6,2,0,0.1,0,0.1,0.18,0,872,1.24,73,67,436,0,0.21,119,247,36,14
Khalid Magrabi,26,Professional League,2016/2017,Defender,Al Quadisiya,236,146,90,Saudi Arabia,3,1,1,0,0,0,1,0,1,0,0,0,0,0,5,2,3,0,0,0.38,0.38,0,0,0,0,1.91,47,79,0,236,0,-1,-1,-1,20
Mohammed Sharifi,39,Professional League,2016/2017,Goalkeeper,Al Raed,450,270,180,Saudi Arabia,5,3,2,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0,0,0,0,0,2.4,38,90,0,0,0,249,249,116,18
Sayyaf Dhafar Al Bishi,38,Professional League,2016/2017,Defender,Al Raed,1739,929,810,Saudi Arabia,21,10,9,2,1,1,0,0,0,0,0,1,1,0,29,15,14,1,0,0.1,0,0.1,0.1,0.11,870,1.5,60,83,1739,0,0.05,118,250,69,6
Adriano Alves dos Santos,33,Professional League,2016/2017,Defender,Al Raed,633,360,273,Brazil,8,4,3,1,1,0,0,0,0,0,0,0,0,0,16,8,8,0,0,0.14,0,0.14,0.25,0,633,2.27,40,79,0,0,0,101,251,115,8
Husein Al Shuwaish,30,Professional League,2016/2017,Defender,Al Raed,1360,630,730,Saudi Arabia,18,7,8,0,0,0,2,2,0,0,0,2,1,1,28,15,13,5,0,0.13,0.13,0,0,0,0,1.85,49,76,272,680,0.33,240,93,103,26
Mohammed Al Amri,26,Professional League,2016/2017,Defender,Al Raed,1930,963,967,Saudi Arabia,22,11,11,0,0,0,2,1,1,0,0,3,2,1,38,16,22,4,0,0.09,0.09,0,0,0,0,1.77,51,88,483,965,0.19,250,123,97,25
Daniel Lopes Amora,31,Professional League,2016/2017,Midfielder,Al Raed,2250,1170,1080,Brazil,25,13,12,0,0,0,3,1,2,0,0,3,2,1,46,21,25,4,0,0.12,0.12,0,0,0,0,1.84,49,90,563,750,0.16,252,98,-1,24
Gilmar Da Silva Ribeiro,28,Professional League,2016/2017,Midfielder,Al Raed,667,397,270,Brazil,13,5,3,1,1,0,2,2,0,0,0,1,1,0,16,7,9,4,1,0.4,0.27,0.13,0.23,0,667,2.16,42,51,133,334,0.67,108,34,-1,9
Sultan Al Sawadi,25,Professional League,2016/2017,Midfielder,Al Raed,2101,1088,1013,Saudi Arabia,26,13,11,4,4,0,8,5,3,0,0,3,2,1,46,20,26,2,0,0.51,0.34,0.17,0.33,0,525,1.97,46,81,1051,263,0.09,91,13,-1,2
Sultan Al Sharif,26,Professional League,2016/2017,Midfielder,Al Raed,1033,519,514,Saudi Arabia,17,6,7,0,0,0,0,0,0,0,0,2,2,0,19,9,10,2,0,0,0,0,0,0,0,1.66,54,61,517,0,0.17,253,252,-1,23
Saleh Khalid Al Shehri,25,Professional League,2016/2017,Forward,Al Raed,391,167,224,Saudi Arabia,15,1,1,2,0,2,2,1,1,0,0,1,1,0,10,4,6,3,0,0.92,0.46,0.46,0,0.8,196,2.3,39,26,130,196,0.69,30,4,-1,7
Ali Kharmi,28,Professional League,2016/2017,Forward,Al Raed,114,78,36,Saudi Arabia,5,1,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,2.37,38,23,0,0,0,-1,-1,-1,22
Ismaël Bangoura,33,Professional League,2016/2017,Forward,Al Raed,2060,1078,982,Guinea,25,12,12,18,11,7,4,3,1,5,0,3,2,1,41,20,21,4,0,0.96,0.17,0.79,0.92,0.64,114,1.79,50,82,515,515,0.17,8,72,-1,1
Abdulkarim Ayidh Al Qahtani,25,Professional League,2016/2017,Midfielder,Al Raed,1960,1013,947,Saudi Arabia,25,11,10,4,3,1,0,0,0,0,0,3,2,1,40,17,23,3,0,0.18,0,0.18,0.27,0.1,490,1.84,49,78,653,0,0.14,81,253,-1,3
Talal Al Shmaly,41,Professional League,2016/2017,Defender,Al Raed,342,212,130,Saudi Arabia,6,2,2,0,0,0,0,0,0,0,0,1,1,0,8,3,5,0,0,0,0,0,0,0,0,2.11,43,57,0,0,0,254,254,109,27
Mutab Sharahili,25,Professional League,2016/2017,Goalkeeper,Al Raed,1230,510,720,Saudi Arabia,14,5,8,0,0,0,0,0,0,0,0,2,2,0,23,7,16,3,0,0,0,0,0,0,0,1.68,53,88,410,0,0.22,255,255,91,21
Faris Al Alayaf,26,Professional League,2016/2017,Forward,Al Raed,1109,662,447,Saudi Arabia,14,8,5,0,0,0,0,0,0,0,0,1,0,1,15,11,4,4,1,0,0,0,0,0,0,1.22,74,79,277,0,0.32,256,256,-1,20
Murad Al Rashidi,27,Professional League,2016/2017,Midfielder,Al Raed,958,429,529,Saudi Arabia,13,5,7,0,0,0,0,0,0,0,0,1,0,1,20,10,10,1,0,0,0,0,0,0,0,1.88,48,74,958,0,0.09,257,257,-1,19
Ahmad Al Hbeab,25,Professional League,2016/2017,Defender,Al Raed,1593,630,963,Saudi Arabia,20,7,11,1,0,1,0,0,0,0,0,3,2,1,29,9,20,7,1,0.06,0,0.06,0,0.09,1593,1.64,55,80,228,0,0.4,139,258,85,10
Assaf Al Qarni,34,Professional League,2016/2017,Goalkeeper,Al Ittihad,1350,720,630,Saudi Arabia,15,8,7,0,0,0,0,0,0,0,0,3,1,2,18,9,9,0,0,0,0,0,0,0,0,1.2,75,90,0,0,0,258,248,31,17
Adnan Ibrahem Falatah,35,Professional League,2016/2017,Defender,Al Ittihad,1650,840,810,Saudi Arabia,19,10,9,3,2,1,5,0,5,0,0,5,2,3,22,12,10,3,0,0.44,0.27,0.16,0.21,0.11,550,1.2,75,87,550,330,0.16,95,32,32,7
Bader Al Nakhli,30,Professional League,2016/2017,Defender,Al Ittihad,1882,900,982,Saudi Arabia,21,10,11,0,0,0,0,0,0,0,0,4,1,3,28,16,12,3,0,0,0,0,0,0,0,1.34,67,90,627,0,0.14,259,235,53,25
Ahmad Hassan Hassan Asiri,26,Professional League,2016/2017,Defender,Al Ittihad,1704,900,804,Saudi Arabia,19,10,9,1,0,1,1,1,0,0,0,5,2,3,24,13,11,3,1,0.11,0.05,0.05,0,0.11,1704,1.27,71,90,568,1704,0.16,146,146,43,10
Carlos Andrés Villanueva Roland,32,Professional League,2016/2017,Midfielder,Al Ittihad,2154,1077,1077,Chile,24,12,12,3,0,3,11,6,5,0,0,5,1,4,29,19,10,6,1,0.58,0.46,0.13,0,0.25,718,1.21,74,90,359,196,0.25,103,3,-1,5
Fahad Al Ebrahim Al Ansari,31,Professional League,2016/2017,Midfielder,Al Ittihad,2114,990,1124,Kuwait,24,11,12,4,2,2,2,1,1,0,0,6,2,4,29,16,13,6,0,0.26,0.09,0.17,0.18,0.16,529,1.23,73,88,352,1057,0.26,90,121,-1,4
Mahmoud Abdul Monem Abdelhamid Soliman,24,Professional League,2016/2017,Midfielder,Al Ittihad,1657,764,893,Egypt,20,8,11,16,6,10,3,1,2,1,0,3,0,3,21,13,8,4,0,1.03,0.16,0.87,0.71,1.01,104,1.14,79,83,414,552,0.22,7,76,-1,1
Jamal Ba Jandooh,26,Professional League,2016/2017,Midfielder,Al Ittihad,1146,470,676,Saudi Arabia,21,4,7,0,0,0,0,0,0,0,0,5,2,3,14,8,6,2,0,0,0,0,0,0,0,1.1,82,55,573,0,0.16,260,223,-1,24
Omar Al-Mazial,26,Professional League,2016/2017,Midfielder,Al Ittihad,1272,582,690,Saudi Arabia,19,7,8,0,0,0,1,0,1,0,0,4,1,3,16,10,6,5,0,0.07,0.07,0,0,0,0,1.13,80,67,254,1272,0.35,251,137,-1,23
Fahad Mosaed Al Muwallad Al Harbi,24,Professional League,2016/2017,Forward,Al Ittihad,1754,944,810,Saudi Arabia,20,10,9,11,6,5,5,1,4,2,0,5,2,3,25,15,10,3,1,0.82,0.26,0.56,0.57,0.56,159,1.28,70,88,439,351,0.21,16,37,-1,2
Abdulrahman Kamel Abdullah Al Ghamdi,24,Professional League,2016/2017,Forward,Al Ittihad,613,320,293,Saudi Arabia,11,4,4,0,0,0,1,1,0,0,0,3,1,2,7,3,4,0,0,0.15,0.15,0,0,0,0,1.03,88,56,0,613,0,238,81,-1,22
Ahmed Al Nazera,25,Professional League,2016/2017,Midfielder,Al Quadisiya,328,225,103,Saudi Arabia,9,2,0,1,0,1,0,0,0,0,0,2,2,0,4,2,2,0,0,0.27,0,0.27,0,0.87,328,1.1,82,36,0,0,0,61,234,-1,15
Awadh Khrees,27,Professional League,2016/2017,Midfielder,Al Ittihad,944,554,390,Saudi Arabia,17,6,4,0,0,0,0,0,0,0,0,4,2,2,16,9,7,3,0,0,0,0,0,0,0,1.53,59,56,315,0,0.29,227,213,-1,21
Majed Al Khaibari,27,Professional League,2016/2017,Defender,Al Ittihad,86,86,0,Saudi Arabia,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2.09,43,43,0,0,0,-1,-1,-1,20
Ammar Al Daheem,25,Professional League,2016/2017,Defender,Al Ittihad,278,186,92,Saudi Arabia,7,2,1,1,0,1,0,0,0,0,0,2,1,1,3,1,2,1,0,0.32,0,0.32,0,0.98,278,0.97,93,40,278,0,0.32,51,214,21,9
Ibrahim Zaied,28,Professional League,2016/2017,Goalkeeper,Al Faisaly,810,360,450,Saudi Arabia,9,4,5,0,0,0,0,0,0,0,0,2,1,1,13,4,9,1,0,0,0,0,0,0,0,1.44,62,90,810,0,0.11,237,215,66,9
Mohammed Abdullah Salem,33,Professional League,2016/2017,Defender,Al Faisaly,1998,990,1008,Saudi Arabia,24,11,12,0,0,0,0,0,0,0,0,5,1,4,35,21,14,3,1,0,0,0,0,0,0,1.58,57,83,500,0,0.18,217,216,79,19
Sultan Al Bishi,28,Professional League,2016/2017,Defender,Al Faisaly,1257,564,693,Saudi Arabia,16,7,7,0,0,0,0,0,0,0,0,2,0,2,18,7,11,2,0,0,0,0,0,0,0,1.29,70,79,629,0,0.14,218,217,47,25
Wesam Al Swed,30,Professional League,2016/2017,Defender,Al Faisaly,2139,1059,1080,Saudi Arabia,24,12,12,0,0,0,1,1,0,0,0,5,2,3,30,14,16,7,0,0.04,0.04,0,0,0,0,1.26,71,89,306,2139,0.29,219,157,39,24
Fawaz Fallatah,29,Professional League,2016/2017,Defender,Al Faisaly,1613,844,769,Saudi Arabia,22,9,8,0,0,0,0,0,0,0,0,6,2,4,27,17,10,7,0,0,0,0,0,0,0,1.51,60,73,230,0,0.39,220,218,73,23
Omar Abdulaziz,34,Professional League,2016/2017,Midfielder,Al Faisaly,2127,979,1148,Saudi Arabia,24,11,13,0,0,0,0,0,0,0,0,6,2,4,31,15,16,6,0,0,0,0,0,0,0,1.31,69,89,355,0,0.25,221,219,-1,22
Gonzalo Gabriel Cabrera Giordano,29,Professional League,2016/2017,Midfielder,Al Faisaly,999,503,496,Argentina,15,7,6,2,1,1,1,1,0,0,0,3,1,2,16,9,7,1,0,0.27,0.09,0.18,0.18,0.18,500,1.44,62,67,999,999,0.09,85,125,-1,6
Abdulah Saud Al Mutairi,32,Professional League,2016/2017,Midfielder,Al Faisaly,1646,991,655,Saudi Arabia,21,11,7,2,2,0,1,1,0,0,0,6,2,4,24,19,5,4,0,0.16,0.05,0.11,0.18,0,823,1.31,69,78,412,1646,0.22,116,148,-1,7
Nader Salem Al Mowalad,26,Professional League,2016/2017,Midfielder,Al Faisaly,961,532,429,Saudi Arabia,17,6,5,0,0,0,0,0,0,0,0,3,2,1,19,12,7,6,0,0,0,0,0,0,0,1.78,51,57,160,0,0.56,222,220,-1,21
Everaldo Stum,27,Professional League,2016/2017,Forward,Al Faisaly,1001,636,365,Brazil,15,7,3,5,4,1,3,3,0,1,0,3,1,2,19,13,6,4,0,0.72,0.27,0.45,0.57,0.25,200,1.71,53,67,250,334,0.36,31,30,-1,3
Mansour Hamzi,26,Professional League,2016/2017,Forward,Al Faisaly,1097,467,630,Saudi Arabia,21,4,8,4,3,1,2,1,1,0,0,5,2,3,19,9,10,1,0,0.49,0.16,0.33,0.58,0.14,274,1.56,58,52,1097,549,0.08,47,79,-1,4
Fahad Muneef,24,Professional League,2016/2017,Forward,Al Faisaly,210,120,90,Saudi Arabia,3,1,1,1,0,1,0,0,0,0,0,0,0,0,5,4,1,1,0,0.43,0,0.43,0,1,210,2.14,42,70,210,0,0.43,-1,-1,-1,8
Abdulah Awaji,24,Professional League,2016/2017,Midfielder,Al Faisaly,246,113,133,Saudi Arabia,7,1,2,0,0,0,1,1,0,0,0,2,1,1,4,3,1,1,0,0.37,0.37,0,0,0,0,1.46,62,35,246,246,0.37,-1,-1,-1,20
Fahad Al Munaif,28,Professional League,2016/2017,Forward,Al Faisaly,126,29,97,Saudi Arabia,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2.14,42,32,0,0,0,-1,-1,-1,16
Moslem Freej,30,Professional League,2016/2017,Goalkeeper,Al Khaleej,2340,1170,1170,Saudi Arabia,26,13,13,0,0,0,1,0,1,0,0,3,0,3,47,25,22,2,0,0.04,0.04,0,0,0,0,1.81,50,90,1170,2340,0.08,223,158,101,28
Rashed Abdulrahman Al Rahab,34,Professional League,2016/2017,Defender,Al Khaleej,90,0,90,Saudi Arabia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,25
Hossam Al Jadani,29,Professional League,2016/2017,Defender,Al Khaleej,450,180,270,Saudi Arabia,8,2,3,0,0,0,0,0,0,0,0,0,0,0,11,4,7,2,0,0,0,0,0,0,0,2.2,41,56,225,0,0.4,224,221,113,13
Ali Alawjami,22,Professional League,2016/2017,Defender,Al Khaleej,1292,548,744,Saudi Arabia,18,6,8,1,0,1,1,1,0,1,0,2,0,2,26,13,13,3,1,0.14,0.07,0.07,0,0.12,1292,1.81,50,72,431,1292,0.21,132,140,102,10
Alexander Agustín López Rodríguez,26,Professional League,2016/2017,Midfielder,Al Khaleej,944,450,494,Honduras,11,5,6,2,1,1,3,2,1,1,1,2,0,2,25,13,12,1,0,0.48,0.29,0.19,0.2,0.18,472,2.38,38,86,944,315,0.1,80,27,-1,7
Zakaria Sami Al Sudani,26,Professional League,2016/2017,Midfielder,Al Khaleej,1254,827,427,Saudi Arabia,18,10,4,1,1,0,0,0,0,0,0,2,0,2,25,17,8,7,1,0.07,0,0.07,0.11,0,1254,1.79,50,70,179,0,0.5,134,212,-1,9
Abdullah Al Salem,25,Professional League,2016/2017,Midfielder,Al Khaleej,1797,867,930,Saudi Arabia,25,10,11,6,4,2,2,1,1,0,0,3,0,3,34,18,16,1,0,0.4,0.1,0.3,0.42,0.19,300,1.7,53,72,1797,899,0.05,56,117,-1,2
Talal Majrashi,28,Professional League,2016/2017,Midfielder,Al Khaleej,1660,768,892,Saudi Arabia,24,7,10,2,1,1,3,1,2,0,0,3,0,3,33,16,17,4,0,0.27,0.16,0.11,0.12,0.1,830,1.79,50,69,415,553,0.22,117,75,-1,4
Jandson Dos Santos,32,Professional League,2016/2017,Forward,Al Khaleej,1864,911,953,Brazil,23,10,11,12,8,4,3,3,0,2,0,3,0,3,36,21,15,6,0,0.72,0.14,0.58,0.79,0.38,155,1.74,52,81,311,621,0.29,14,89,-1,1
Fahad Al Swailem,26,Professional League,2016/2017,Forward,Al Khaleej,156,10,146,Saudi Arabia,4,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2.31,39,39,0,0,0,-1,-1,-1,21
Mustafa Al-Mousawi,23,Professional League,2016/2017,Forward,Al Khaleej,103,28,75,Saudi Arabia,3,0,1,0,0,0,0,0,0,0,0,1,0,1,5,2,3,0,0,0,0,0,0,0,0,4.37,21,34,0,0,0,-1,-1,-1,11
Alaa Ahmed Al Rishani,31,Professional League,2016/2017,Midfielder,Al Khaleej,669,282,387,Saudi Arabia,9,3,4,0,0,0,1,0,1,0,0,1,0,1,12,5,7,3,0,0.13,0.13,0,0,0,0,1.61,56,74,223,669,0.4,225,96,-1,20
Khaled Al Obod,28,Professional League,2016/2017,Midfielder,Al Khaleej,473,270,203,Saudi Arabia,10,4,2,0,0,0,0,0,0,0,0,1,0,1,5,4,1,0,0,0,0,0,0,0,0,0.95,95,47,0,0,0,216,222,-1,27
Qasim Alawjami,22,Professional League,2016/2017,Defender,Al Khaleej,1072,755,317,Saudi Arabia,13,8,3,0,0,0,0,0,0,0,0,1,0,1,18,14,4,2,0,0,0,0,0,0,0,1.51,60,82,536,0,0.17,226,224,74,26
Mohammed Al Mutawa,24,Professional League,2016/2017,Midfielder,Al Khaleej,401,242,159,Saudi Arabia,17,3,1,2,0,2,2,0,2,0,0,2,0,2,6,3,3,1,0,0.9,0.45,0.45,0,1.13,201,1.35,67,24,401,201,0.22,32,5,-1,3
Abdullah Mohammed Al Sudairy,26,Professional League,2016/2017,Goalkeeper,Al Wahda,494,404,90,Saudi Arabia,6,5,1,0,0,0,0,0,0,0,0,0,0,0,15,12,3,0,0,0,0,0,0,0,0,2.73,33,82,0,0,0,228,225,122,24
Yahya Al Muslem,31,Professional League,2016/2017,Defender,Al Wahda,1331,657,674,Saudi Arabia,16,7,7,2,2,0,0,0,0,0,0,1,0,1,30,13,17,3,0,0.14,0,0.14,0.27,0,666,2.03,44,83,444,0,0.2,100,226,108,4
Jehad Al Baour,31,Professional League,2016/2017,Defender,Al Wahda,990,540,450,Syria,11,6,5,0,0,0,0,0,0,0,0,0,0,0,27,15,12,2,0,0,0,0,0,0,0,2.45,37,90,495,0,0.18,229,227,119,29
Abdullah Abdulkarim Al Shamekh,25,Professional League,2016/2017,Defender,Al Wahda,2035,1045,990,Saudi Arabia,23,12,11,0,0,0,4,2,2,0,0,1,0,1,51,25,26,3,0,0.18,0.18,0,0,0,0,2.26,40,88,678,509,0.13,230,64,114,28
