full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Khalid Hussain Al Kabi,26,Professional League,2015/2016,Forward,Al Hilal,770,410,360,Saudi Arabia,13,5,5,1,1,0,1,1,0,0,0,6,4,2,7,1,6,2,0,0.23,0.12,0.12,0.22,0,770,0.82,110,59,385,770,0.23,102,81,-1,12
Carlos Eduardo de Oliveira Alves,29,Professional League,2015/2016,Midfielder,Al Hilal,1506,566,940,Brazil,18,6,11,14,6,8,3,0,3,0,0,6,3,3,18,7,11,2,0,1.02,0.18,0.84,0.95,0.77,108,1.08,84,84,753,502,0.12,5,55,-1,1
Abdullah Mohammed Al Zoari Al Dossary,31,Professional League,2015/2016,Defender,Al Hilal,1467,677,790,Saudi Arabia,21,7,9,5,3,2,2,0,2,0,0,10,6,4,12,5,7,0,0,0.43,0.12,0.31,0.4,0.23,293,0.74,122,70,0,734,0,46,78,12,4
Yousef Mansour Al Salem,33,Professional League,2015/2016,Forward,Al Hilal,429,238,191,Saudi Arabia,12,3,1,2,0,2,2,0,2,0,0,5,4,1,4,1,3,0,0,0.84,0.42,0.42,0,0.94,215,0.84,107,36,0,215,0,25,10,-1,8
Ahmed Mohammed Sharahili,24,Professional League,2015/2016,Defender,Al Hilal,407,270,137,Saudi Arabia,7,3,2,0,0,0,0,0,0,0,0,3,2,1,3,0,3,0,0,0,0,0,0,0,0,0.66,136,58,0,0,0,241,237,8,24
Faisal Darwish Faraj,27,Professional League,2015/2016,Midfielder,Al Hilal,478,369,109,Saudi Arabia,9,4,1,1,0,1,1,1,0,0,0,5,3,2,2,1,1,1,0,0.38,0.19,0.19,0,0.83,478,0.38,239,53,478,478,0.19,73,53,-1,15
Fahad Mohammed Al Thunayyan,32,Professional League,2015/2016,Goalkeeper,Al Hilal,360,270,90,Saudi Arabia,4,3,1,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0.25,360,90,0,0,0,242,238,1,23
Abdulaziz Saeed Al Dawsari,30,Professional League,2015/2016,Midfielder,Al Hilal,952,671,281,Saudi Arabia,18,8,2,1,0,1,3,3,0,0,0,9,6,3,8,3,5,1,0,0.38,0.28,0.09,0,0.32,952,0.76,119,53,952,317,0.09,121,28,-1,16
Ahmed Al Fahmi,27,Professional League,2015/2016,Goalkeeper,Al Wahda,963,450,513,Saudi Arabia,11,5,6,0,0,0,0,0,0,0,0,1,1,0,15,5,10,1,0,0,0,0,0,0,0,1.4,64,88,963,0,0.09,243,239,85,15
Tariq Abdulaziz,27,Professional League,2015/2016,Defender,Al Wahda,504,217,287,Saudi Arabia,7,2,3,0,0,0,0,0,0,0,0,0,0,0,7,2,5,2,0,0,0,0,0,0,0,1.25,72,72,252,0,0.36,244,240,69,29
Mansour Sharahili,27,Professional League,2015/2016,Defender,Al Wahda,397,144,253,Saudi Arabia,6,1,3,0,0,0,1,0,1,0,0,0,0,0,5,1,4,0,0,0.23,0.23,0,0,0,0,1.13,79,66,0,397,0,245,42,51,38
Sultan Al Numare,32,Professional League,2015/2016,Midfielder,Al Wahda,511,274,237,Saudi Arabia,14,3,3,0,0,0,0,0,0,0,0,2,2,0,8,4,4,1,0,0,0,0,0,0,0,1.41,64,37,511,0,0.18,246,241,-1,37
Abdulaziz Al Mansour,28,Professional League,2015/2016,Midfielder,Al Wahda,818,293,525,Saudi Arabia,10,3,6,0,0,0,0,0,0,0,0,0,0,0,15,4,11,2,0,0,0,0,0,0,0,1.65,55,82,409,0,0.22,247,242,-1,36
Mohammed Al Dahi,30,Professional League,2015/2016,Midfielder,Al Wahda,55,0,55,Saudi Arabia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3.27,28,55,0,0,0,-1,-1,-1,35
Abdulelah Al Malki,24,Professional League,2015/2016,Midfielder,Al Wahda,1407,839,568,Saudi Arabia,19,9,6,0,0,0,1,1,0,0,0,3,2,1,18,11,7,4,0,0.06,0.06,0,0,0,0,1.15,78,74,352,1407,0.26,248,124,-1,34
Ali Awaji,29,Professional League,2015/2016,Midfielder,Al Wahda,2067,1068,999,Saudi Arabia,25,12,11,11,7,4,2,1,1,1,0,4,3,1,27,13,14,3,0,0.57,0.09,0.48,0.59,0.36,188,1.18,77,83,689,1034,0.13,20,102,-1,1
Abdulkhaleq Barnawi,34,Professional League,2015/2016,Forward,Al Wahda,338,85,253,Saudi Arabia,7,1,3,0,0,0,0,0,0,0,0,0,0,0,7,1,6,2,0,0,0,0,0,0,0,1.86,48,48,169,0,0.53,239,243,-1,33
Mohanad Al Farsi,27,Professional League,2015/2016,Forward,Al Wahda,822,419,403,Saudi Arabia,15,5,4,4,1,3,3,2,1,0,0,1,1,0,10,5,5,0,0,0.77,0.33,0.44,0.21,0.67,206,1.09,82,55,0,274,0,23,17,-1,2
Mousa Madkhali,30,Professional League,2015/2016,Forward,Al Wahda,193,13,180,Saudi Arabia,3,0,2,1,0,1,0,0,0,0,0,0,0,0,4,1,3,0,0,0.47,0,0.47,0,0.5,193,1.87,48,64,0,0,0,-1,-1,-1,9
Jehad Al Baour,31,Professional League,2015/2016,Defender,Al Wahda,2105,1080,1025,Syria,25,12,11,2,0,2,0,0,0,0,0,4,3,1,25,14,11,3,0,0.09,0,0.09,0,0.18,1053,1.07,84,84,702,0,0.13,122,244,41,4
Adolfo Justino Lima Camejo,28,Professional League,2015/2016,Midfielder,Al Wahda,1617,889,728,Uruguay,21,10,8,1,1,0,4,2,2,0,0,4,3,1,19,9,10,1,0,0.28,0.22,0.06,0.1,0,1617,1.06,85,77,1617,404,0.06,140,45,-1,11
Sager Otayf,28,Professional League,2015/2016,Forward,Al Wahda,845,501,344,Saudi Arabia,18,5,3,2,1,1,0,0,0,0,1,3,3,0,11,5,6,3,0,0.21,0,0.21,0.18,0.26,423,1.17,77,47,282,0,0.32,65,234,-1,6
Sami Fatha,29,Professional League,2015/2016,Goalkeeper,Al Wahda,117,0,117,Saudi Arabia,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1.54,59,59,0,0,0,-1,-1,-1,32
Maher Ismael Othman,27,Professional League,2015/2016,Midfielder,Al Wahda,890,450,440,Saudi Arabia,10,5,5,0,0,0,1,1,0,0,0,1,1,0,15,6,9,4,0,0.1,0.1,0,0,0,0,1.52,59,89,223,890,0.4,249,97,-1,31
Majed Al Hazzani,35,Professional League,2015/2016,Midfielder,Al Wahda,325,132,193,Saudi Arabia,7,1,2,0,0,0,2,0,2,0,0,1,1,0,4,1,3,1,0,0.55,0.55,0,0,0,0,1.11,81,46,325,163,0.28,251,4,-1,30
Moslem Freej,30,Professional League,2015/2016,Goalkeeper,Al Khaleej,1936,1036,900,Saudi Arabia,22,12,10,0,0,0,0,0,0,0,0,5,2,3,30,15,15,5,0,0,0,0,0,0,0,1.39,65,88,387,0,0.23,252,245,83,15
Ibrahim Mohammad Farhan Al Zawahreh,29,Professional League,2015/2016,Defender,Al Khaleej,1582,813,769,Jordan,21,9,9,1,1,0,0,0,0,0,1,6,2,4,29,13,16,8,1,0.06,0,0.06,0.11,0,1582,1.65,55,75,176,0,0.51,142,247,103,12
Salman Hazazi,26,Professional League,2015/2016,Defender,Al Khaleej,1944,865,1079,Saudi Arabia,23,10,12,0,0,0,1,0,1,0,0,5,2,3,30,10,20,9,0,0.05,0.05,0,0,0,0,1.39,65,85,216,1944,0.42,253,137,84,23
Hossam Al Jadani,29,Professional League,2015/2016,Defender,Al Khaleej,1209,669,540,Saudi Arabia,15,7,6,1,1,0,0,0,0,0,0,2,1,1,23,11,12,3,0,0.07,0,0.07,0.13,0,1209,1.71,53,81,403,0,0.22,133,248,106,8
Ali Alawjami,22,Professional League,2015/2016,Defender,Al Khaleej,1294,687,607,Saudi Arabia,17,7,7,2,1,1,0,0,0,0,0,4,1,3,27,14,13,4,0,0.14,0,0.14,0.13,0.15,647,1.88,48,76,324,0,0.28,97,249,114,4
Aboubacar Sylla,27,Professional League,2015/2016,Midfielder,Al Khaleej,2160,1170,990,Guinea,24,13,11,0,0,0,2,0,2,0,0,6,2,4,28,19,9,4,0,0.08,0.08,0,0,0,0,1.17,77,90,540,1080,0.17,254,113,-1,22
Hattan Babhir,26,Professional League,2015/2016,Midfielder,Al Khaleej,1752,911,841,Saudi Arabia,24,11,10,5,2,3,1,0,1,0,0,6,2,4,29,14,15,5,0,0.31,0.05,0.26,0.2,0.32,350,1.49,60,73,350,1752,0.26,56,130,-1,1
Abdullah Al Salem,25,Professional League,2015/2016,Midfielder,Al Khaleej,1501,807,694,Saudi Arabia,22,11,8,2,1,1,3,2,1,0,0,6,2,4,29,14,15,1,0,0.3,0.18,0.12,0.11,0.13,751,1.74,52,68,1501,500,0.06,105,57,-1,5
Talal Majrashi,28,Professional League,2015/2016,Midfielder,Al Khaleej,1772,790,982,Saudi Arabia,25,9,11,1,0,1,0,0,0,0,0,5,1,4,31,14,17,3,0,0.05,0,0.05,0,0.09,1772,1.57,57,71,591,0,0.15,144,250,-1,6
Marwan Hussein Hassan Al Ajeeli,26,Professional League,2015/2016,Forward,Al Khaleej,278,199,79,Iraq,4,2,1,1,0,1,1,1,0,0,0,0,0,0,7,6,1,0,0,0.65,0.32,0.32,0,1.14,278,2.27,40,70,0,278,0,43,20,-1,9
Abbas Shengeeti,30,Professional League,2015/2016,Forward,Al Khaleej,1462,720,742,Saudi Arabia,17,8,8,1,1,0,0,0,0,0,0,3,1,2,24,13,11,3,0,0.06,0,0.06,0.13,0,1462,1.48,61,86,487,0,0.18,138,251,-1,10
Samer Salem,26,Professional League,2015/2016,Forward,Al Khaleej,276,154,122,Saudi Arabia,12,1,1,1,0,1,1,1,0,0,0,3,1,2,2,2,0,2,0,0.65,0.33,0.33,0,0.74,276,0.65,138,23,138,276,0.65,39,18,-1,11
Mohammed Al Tawel,27,Professional League,2015/2016,Goalkeeper,Al Khaleej,404,134,270,Saudi Arabia,5,1,3,0,0,0,0,0,0,0,0,1,0,1,9,4,5,0,0,0,0,0,0,0,0,2,45,81,0,0,0,255,252,118,18
Husain Turki,36,Professional League,2015/2016,Forward,Al Khaleej,869,415,454,Saudi Arabia,18,3,4,1,0,1,2,1,1,1,1,5,1,4,14,6,8,0,0,0.31,0.21,0.1,0,0.2,869,1.45,62,48,0,435,0,118,49,-1,13
Mohammed Al Rashed,38,Professional League,2015/2016,Forward,Al Khaleej,232,163,69,Saudi Arabia,5,1,1,0,0,0,0,0,0,0,0,2,1,1,4,4,0,0,0,0,0,0,0,0,0,1.55,58,46,0,0,0,-1,-1,-1,21
Alaa Ahmed Al Rishani,31,Professional League,2015/2016,Midfielder,Al Khaleej,1622,632,990,Saudi Arabia,20,8,11,0,0,0,0,0,0,0,1,5,2,3,26,7,19,6,0,0,0,0,0,0,0,1.44,62,81,270,0,0.33,256,253,-1,20
Issa Al Abbas,36,Professional League,2015/2016,Defender,Al Khaleej,90,90,0,Saudi Arabia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,19
Abdullah Hussain Al Oaisher,27,Professional League,2015/2016,Goalkeeper,Al Fateh,1664,720,944,Saudi Arabia,19,8,10,0,0,0,0,0,0,0,0,6,3,3,16,6,10,3,0,0,0,0,0,0,0,0.87,104,88,555,0,0.16,257,254,22,15
Abdullah Mubarak Al Dawsari,28,Professional League,2015/2016,Defender,Al Fateh,1164,442,722,Saudi Arabia,17,5,9,0,0,0,0,0,0,0,0,4,2,2,13,4,9,3,0,0,0,0,0,0,0,1.01,90,68,388,0,0.23,258,255,32,18
Salam Shakir Ali Dad,32,Professional League,2015/2016,Defender,Al Fateh,1892,902,990,Iraq,23,10,11,1,1,0,1,0,1,0,0,7,4,3,19,7,12,3,0,0.1,0.05,0.05,0.1,0,1892,0.9,100,82,631,1892,0.14,143,135,24,7
Majed Hazazi,30,Professional League,2015/2016,Defender,Al Fateh,976,420,556,Saudi Arabia,16,5,6,0,0,0,0,0,0,0,0,4,2,2,10,5,5,3,0,0,0,0,0,0,0,0.92,98,61,325,0,0.28,259,256,25,23
Abdulaziz Oboshqra,36,Professional League,2015/2016,Defender,Al Fateh,1480,923,557,Saudi Arabia,19,10,6,2,2,0,0,0,0,0,0,6,4,2,13,7,6,3,0,0.12,0,0.12,0.2,0,740,0.79,114,78,493,0,0.18,100,257,14,5
Yuseef Khamees,28,Professional League,2015/2016,Defender,Al Fateh,526,182,344,Saudi Arabia,11,1,4,0,0,0,0,0,0,0,0,7,4,3,3,2,1,0,0,0,0,0,0,0,0,0.51,175,48,0,0,0,260,246,3,22
Élton José Xavier Gomes,32,Professional League,2015/2016,Midfielder,Al Fateh,2172,1164,1008,Brazil,25,13,11,12,5,7,6,2,4,2,2,8,5,3,23,10,13,4,0,0.75,0.25,0.5,0.39,0.63,181,0.95,94,87,543,362,0.17,19,35,-1,1
Marko Stanojević,30,Professional League,2015/2016,Midfielder,Al Fateh,152,90,62,Serbia,2,1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1.18,76,76,0,0,0,-1,-1,-1,21
Mohammed Alfehaid,28,Professional League,2015/2016,Midfielder,Al Fateh,2119,1049,1070,Saudi Arabia,24,12,12,1,1,0,0,0,0,0,0,8,5,3,20,7,13,7,0,0.04,0,0.04,0.09,0,2119,0.85,106,88,303,0,0.3,155,232,-1,9
Tawfiq Buhumaid,31,Professional League,2015/2016,Midfielder,Al Fateh,1511,865,646,Saudi Arabia,19,10,7,0,0,0,4,3,1,0,0,5,4,1,15,7,8,5,1,0.24,0.24,0,0,0,0,0.89,101,80,302,378,0.3,250,40,-1,20
Josimar Rodrigues Souza Roberto,31,Professional League,2015/2016,Forward,Al Fateh,559,280,279,Brazil,12,3,3,1,0,1,0,0,0,0,0,5,3,2,5,3,2,0,0,0.16,0,0.16,0,0.32,559,0.81,112,47,0,0,0,85,219,-1,10
Ali Albulayhi,28,Professional League,2015/2016,Defender,Al Fateh,2059,1096,963,Saudi Arabia,24,13,10,0,0,0,0,0,0,0,0,7,5,2,23,10,13,6,1,0,0,0,0,0,0,1.01,90,86,343,0,0.26,237,231,33,19
Mubark Al Asmari,31,Professional League,2015/2016,Midfielder,Al Fateh,400,169,231,Saudi Arabia,11,1,2,0,0,0,0,0,0,0,0,4,2,2,5,3,2,0,0,0,0,0,0,0,0,1.13,80,36,0,0,0,225,208,-1,24
Riyadh Sharahili,25,Professional League,2015/2016,Midfielder,Al Fateh,57,46,11,Saudi Arabia,5,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,17
Hamad Al Juhaim,31,Professional League,2015/2016,Forward,Al Fateh,1374,742,632,Saudi Arabia,23,9,7,8,4,4,1,0,1,0,0,5,3,2,14,6,8,6,0,0.59,0.07,0.52,0.49,0.57,172,0.92,98,60,229,1374,0.39,17,116,-1,2
Nouh Al mousa,27,Professional League,2015/2016,Midfielder,Al Fateh,75,45,30,Saudi Arabia,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,-1,-1,-1,16
Abdullah Al Jadani,27,Professional League,2015/2016,Goalkeeper,Najran,270,90,180,Saudi Arabia,3,1,2,0,0,0,0,0,0,0,0,0,0,0,7,2,5,0,0,0,0,0,0,0,0,2.33,39,90,0,0,0,-1,-1,-1,18
Mamadou Wague,28,Professional League,2015/2016,Defender,Najran,893,443,450,France,10,5,5,1,1,0,0,0,0,0,0,0,0,0,16,6,10,6,2,0.1,0,0.1,0.2,0,893,1.61,56,89,149,0,0.6,116,209,102,14
Rabi Al Mousa,33,Professional League,2015/2016,Defender,Najran,1445,630,815,Saudi Arabia,17,7,10,1,1,0,3,1,2,0,0,1,1,0,27,12,15,4,0,0.25,0.19,0.06,0.14,0,1445,1.68,54,85,361,482,0.25,135,51,105,13
Nawaf Al Sabhi,31,Professional League,2015/2016,Defender,Najran,810,450,360,Saudi Arabia,10,5,4,1,0,1,0,0,0,0,0,0,0,0,15,7,8,3,0,0.11,0,0.11,0,0.25,810,1.67,54,81,270,0,0.33,106,210,104,11
Saeed Al Hamsal,22,Professional League,2015/2016,Defender,Najran,692,422,270,Saudi Arabia,8,5,3,0,0,0,0,0,0,0,0,1,1,0,11,5,6,2,0,0,0,0,0,0,0,1.43,63,87,346,0,0.26,236,211,87,29
Maan Sultan Khodary,26,Professional League,2015/2016,Midfielder,Najran,774,449,325,Saudi Arabia,12,5,4,0,0,0,0,0,0,0,0,1,1,0,11,5,6,3,0,0,0,0,0,0,0,1.28,70,65,258,0,0.35,215,212,-1,28
Faisal Zaid Al Harbi,27,Professional League,2015/2016,Midfielder,Najran,1060,520,540,Kuwait,13,6,6,1,1,0,0,0,0,0,0,1,1,0,19,7,12,0,0,0.08,0,0.08,0.17,0,1060,1.61,56,82,0,0,0,127,213,-1,9
Abdulelah Bin Mohammed,26,Professional League,2015/2016,Midfielder,Najran,226,90,136,Saudi Arabia,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,1.99,45,75,0,0,0,-1,-1,-1,27
Sultan Madash,24,Professional League,2015/2016,Midfielder,Najran,898,394,504,Saudi Arabia,18,4,4,0,0,0,0,0,0,0,0,1,1,0,15,6,9,0,0,0,0,0,0,0,0,1.5,60,50,0,0,0,216,214,-1,26
Essa Al Mehyani,35,Professional League,2015/2016,Forward,Najran,1057,586,471,Saudi Arabia,17,7,5,3,1,2,1,0,1,0,1,1,1,0,17,8,9,3,1,0.34,0.09,0.26,0.15,0.38,352,1.45,62,62,352,1057,0.26,57,106,-1,7
Yahya Hussain Dagriri,27,Professional League,2015/2016,Forward,Najran,244,152,92,Saudi Arabia,10,1,1,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,2.95,31,24,0,0,0,-1,-1,-1,25
Wesam Waheab Mudhaya,26,Professional League,2015/2016,Forward,Najran,1520,812,708,Saudi Arabia,23,8,7,3,2,1,3,3,0,0,0,5,2,3,20,9,11,1,0,0.36,0.18,0.18,0.22,0.13,507,1.18,76,66,1520,507,0.06,78,56,-1,6
Raed Al Amri,29,Professional League,2015/2016,Defender,Najran,437,168,269,Saudi Arabia,10,0,2,1,1,0,0,0,0,0,0,0,0,0,7,4,3,2,0,0.21,0,0.21,0.54,0,437,1.44,62,44,219,0,0.41,64,215,88,12
David Simbo,29,Professional League,2015/2016,Midfielder,Najran,110,20,90,Sierra Leone,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,-1,-1,-1,24
Abdulaziz Mbarak Al Hamsal,31,Professional League,2015/2016,Midfielder,Najran,747,496,251,Saudi Arabia,14,5,3,0,0,0,0,0,0,0,0,0,0,0,20,12,8,4,0,0,0,0,0,0,0,2.41,37,53,187,0,0.48,217,216,-1,23
Abdulaziz Takroni,26,Professional League,2015/2016,Goalkeeper,Najran,2070,1080,990,Saudi Arabia,23,12,11,0,0,0,0,0,0,0,0,1,1,0,40,20,20,2,0,0,0,0,0,0,0,1.74,52,90,1035,0,0.09,218,217,109,19
Muhand Awad,26,Professional League,2015/2016,Forward,Al Wahda,136,46,90,Saudi Arabia,2,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0.66,0,0.66,0,1,136,1.32,68,68,0,0,0,-1,-1,-1,8
Hani Al Nahidh,31,Professional League,2015/2016,Goalkeeper,Al Ittihad,270,90,180,Saudi Arabia,3,1,2,0,0,0,0,0,0,0,0,1,0,1,5,5,0,0,0,0,0,0,0,0,0,1.67,54,90,0,0,0,-1,-1,-1,18
Hamad Mohsen Al Montashari,36,Professional League,2015/2016,Defender,Al Ittihad,645,360,285,Saudi Arabia,8,4,3,0,0,0,0,0,0,0,0,2,0,2,11,10,1,1,0,0,0,0,0,0,0,1.53,59,81,645,0,0.14,219,207,93,23
Yassen Hamza,28,Professional League,2015/2016,Defender,Al Ittihad,1460,810,650,Saudi Arabia,17,9,7,0,0,0,0,0,0,0,0,6,3,3,19,12,7,5,0,0,0,0,0,0,0,1.17,77,86,292,0,0.31,220,218,59,26
Majed Al Khaibari,27,Professional League,2015/2016,Defender,Al Ittihad,1423,655,768,Saudi Arabia,19,7,9,0,0,0,0,0,0,0,0,6,3,3,20,11,9,4,0,0,0,0,0,0,0,1.26,71,75,356,0,0.25,221,220,72,25
Sulley Ali Muntari,34,Professional League,2015/2016,Midfielder,Al Ittihad,1374,663,711,Ghana,18,9,8,2,2,0,2,0,2,0,0,6,2,4,13,9,4,3,0,0.26,0.13,0.13,0.27,0,687,0.85,106,76,458,687,0.2,98,76,-1,7
Lucian Iulian Sânmărtean,38,Professional League,2015/2016,Midfielder,Al Ittihad,1668,904,764,Romania,20,11,8,6,2,4,5,5,0,0,0,4,2,2,22,12,10,7,1,0.59,0.27,0.32,0.2,0.47,278,1.19,76,83,238,334,0.38,42,30,-1,3
Mohammed Abusabaan,28,Professional League,2015/2016,Midfielder,Al Ittihad,652,253,399,Saudi Arabia,14,3,5,2,2,0,0,0,0,0,0,4,1,3,10,7,3,2,0,0.28,0,0.28,0.71,0,326,1.38,65,47,326,0,0.28,51,221,-1,8
Awadh Khrees,27,Professional League,2015/2016,Midfielder,Al Ittihad,1139,532,607,Saudi Arabia,13,6,6,0,0,0,1,1,0,0,0,4,1,3,15,11,4,6,1,0.08,0.08,0,0,0,0,1.19,76,88,163,1139,0.55,222,110,-1,24
Abdulfattah Tawfiq Asiri,24,Professional League,2015/2016,Midfielder,Al Ittihad,1062,499,563,Saudi Arabia,15,5,6,4,1,3,3,1,2,0,0,5,2,3,8,4,4,1,0,0.59,0.25,0.34,0.18,0.48,266,0.68,133,71,1062,354,0.08,38,36,-1,5
Gelmin Javier Rivas Boada,29,Professional League,2015/2016,Forward,Al Ittihad,2052,932,1120,Venezuela,25,10,13,19,8,11,6,3,3,5,2,7,3,4,29,16,13,1,0,1.1,0.26,0.83,0.77,0.88,108,1.27,71,82,2052,342,0.04,6,33,-1,1
Fahad Mosaed Al Muwallad Al Harbi,24,Professional League,2015/2016,Forward,Al Ittihad,1792,867,925,Saudi Arabia,22,9,11,3,2,1,8,5,3,0,1,6,2,4,26,14,12,3,0,0.55,0.4,0.15,0.21,0.1,597,1.31,69,81,597,224,0.15,92,11,-1,6
Abdulrahman Kamel Abdullah Al Ghamdi,24,Professional League,2015/2016,Forward,Al Ittihad,806,300,506,Saudi Arabia,17,2,7,7,4,3,1,0,1,0,0,7,3,4,10,4,6,3,0,0.89,0.11,0.78,1.2,0.53,115,1.12,81,47,269,806,0.33,7,91,-1,2
Mukhtar Fallatah,31,Professional League,2015/2016,Forward,Al Ittihad,641,476,165,Saudi Arabia,17,5,0,5,4,1,2,2,0,1,1,5,3,2,13,8,5,1,0,0.98,0.28,0.7,0.76,0.55,128,1.83,49,38,641,321,0.14,8,27,-1,4
Jamal Ba Jandooh,26,Professional League,2015/2016,Midfielder,Al Ittihad,849,326,523,Saudi Arabia,14,3,6,1,0,1,0,0,0,0,0,3,1,2,16,9,7,2,0,0.11,0,0.11,0,0.17,849,1.7,53,61,425,0,0.21,109,222,-1,10
Riad Hassan Al Ibrahim,24,Professional League,2015/2016,Forward,Al Ittihad,500,288,212,Saudi Arabia,11,3,2,0,0,0,0,0,0,0,0,2,2,0,9,4,5,0,0,0,0,0,0,0,0,1.62,56,45,0,0,0,223,223,-1,22
