full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Khalid Mohammed Sharahili,31,Professional League,2015/2016,Goalkeeper,Al Hilal,1800,810,990,Saudi Arabia,20,9,11,0,0,0,0,0,0,0,0,10,5,5,15,7,8,1,0,0,0,0,0,0,0,0.75,120,90,1800,0,0.05,212,154,13,20
Rodrigo Júnior Paula Silva,30,Professional League,2015/2016,Defender,Al Hilal,1234,720,514,Brazil,14,8,6,0,0,0,1,0,1,0,0,9,7,2,6,2,4,3,0,0.07,0.07,0,0,0,0,0.44,206,88,411,1234,0.22,309,115,2,25
Tae-Hwi Kwak,37,Professional League,2015/2016,Defender,Al Hilal,1697,797,900,South Korea,19,9,10,0,0,0,1,1,0,0,0,8,4,4,19,8,11,0,0,0.05,0.05,0,0,0,0,1.01,89,89,0,1697,0,240,133,31,26
Mohammed Yahya Jahfali,28,Professional League,2015/2016,Defender,Al Hilal,1721,766,955,Saudi Arabia,20,9,11,1,0,1,0,0,0,0,0,7,4,3,19,6,13,5,0,0.05,0,0.05,0,0.09,1721,0.99,91,86,344,0,0.26,146,235,27,14
Yasir Gharsan Al Shahrani,26,Professional League,2015/2016,Defender,Al Hilal,1778,810,968,Saudi Arabia,20,9,11,1,0,1,0,0,0,0,0,8,4,4,20,8,12,3,0,0.05,0,0.05,0,0.09,1778,1.01,89,89,593,0,0.15,145,236,30,13
Mohammed Al Burayk,26,Professional League,2015/2016,Defender,Al Hilal,1115,564,551,Saudi Arabia,14,7,6,2,2,0,5,3,2,0,0,7,4,3,11,4,7,1,0,0.57,0.4,0.16,0.32,0,558,0.89,101,80,1115,223,0.08,86,13,23,9
Mohammad Bander Al Shalhoub,37,Professional League,2015/2016,Midfielder,Al Hilal,998,457,541,Saudi Arabia,17,5,6,1,0,1,3,1,2,0,0,6,3,3,12,5,7,0,0,0.36,0.27,0.09,0,0.17,998,1.08,83,59,0,333,0,120,32,-1,11
Nawaf Shaker Al Abid,28,Professional League,2015/2016,Midfielder,Al Hilal,781,323,458,Saudi Arabia,11,3,4,1,1,0,6,4,2,0,0,5,3,2,8,3,5,1,0,0.81,0.69,0.12,0.28,0,781,0.92,98,71,781,130,0.12,101,2,-1,10
Salman Mohammed Al Faraj,29,Professional League,2015/2016,Midfielder,Al Hilal,1675,775,900,Saudi Arabia,19,9,10,2,0,2,1,1,0,0,0,8,4,4,17,7,10,3,0,0.16,0.05,0.11,0,0.2,838,0.91,99,88,558,1675,0.16,107,134,-1,7
Aílton José Almeida,34,Professional League,2015/2016,Forward,Al Hilal,1698,839,859,Brazil,22,9,11,6,3,3,3,0,3,1,2,10,5,5,15,7,8,1,0,0.48,0.16,0.32,0.32,0.31,283,0.8,113,77,1698,566,0.05,41,66,-1,2
