full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Sebastian Giovinco,32,Professional League,2018/2019,Forward,Al Hilal,181,156,25,Italy,4,1,0,3,3,0,1,0,1,0,0,1,0,1,3,3,0,0,0,1.99,0.5,1.49,1.73,0,60,1.49,60,45,0,181,0,-1,-1,-1,7
Kennedy Igboananike,30,Professional League,2018/2019,Forward,Al Hazm,288,236,52,Nigeria,8,1,0,2,1,1,0,0,0,0,0,1,1,0,4,4,0,0,0,0.63,0,0.63,0.38,1.73,144,1.25,72,36,0,0,0,9,195,-1,4
Igor Rossi Branco,29,Professional League,2018/2019,Defender,Al Faisaly,1880,810,1070,Brazil,21,9,12,4,1,3,0,0,0,0,0,5,4,1,25,6,19,5,1,0.19,0,0.19,0.11,0.25,470,1.2,75,90,376,0,0.24,80,289,63,5
Alexandros Tziolis,34,Professional League,2018/2019,Midfielder,Al Feiha,1789,743,1046,Greece,22,8,11,1,1,0,1,1,0,0,0,2,1,1,30,15,15,5,0,0.1,0.05,0.05,0.12,0,1789,1.51,60,81,358,1789,0.25,161,152,-1,8
Jhonnattann Benites da Conceiçao,29,Professional League,2018/2019,Forward,Al Batin,875,307,568,Brazil,17,3,6,6,2,4,1,0,1,0,1,5,3,2,13,4,9,3,0,0.72,0.1,0.62,0.59,0.63,146,1.34,67,51,292,875,0.31,11,109,-1,1
John Jairo Ruiz Barrantes,25,Professional League,2018/2019,Forward,Al Feiha,239,103,136,Costa Rica,7,1,1,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0.38,0.38,0,0,0,0,1.13,80,34,239,239,0.38,-1,-1,-1,24
Jonatan Soriano Casas,33,Professional League,2018/2019,Forward,Al Hilal,101,55,46,Spain,4,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,1.78,0,3.91,51,0,0,25,0,0,0,-1,-1,-1,9
Jonas Gomes de Sousa,27,Professional League,2018/2019,Midfielder,Al Ittihad,946,366,580,Brazil,16,6,6,0,0,0,2,1,1,0,0,3,1,2,18,8,10,3,0,0.19,0.19,0,0,0,0,1.71,53,59,315,473,0.29,283,54,-1,21
Aleksandar Prijović,28,Professional League,2018/2019,Forward,Al Ittihad,480,210,270,Serbia,6,2,3,2,2,0,1,0,1,1,1,3,2,1,4,2,2,0,0,0.56,0.19,0.38,0.86,0,240,0.75,120,80,0,480,0,28,57,-1,3
Nicolae Claudiu Stanciu,25,Professional League,2018/2019,Midfielder,Al Ahli,260,66,194,Romania,4,1,2,0,0,0,2,0,2,0,0,0,0,0,4,2,2,1,0,0.69,0.69,0,0,0,0,1.38,65,65,260,130,0.35,-1,-1,-1,14
Garry Mendes Rodrigues,28,Professional League,2018/2019,Midfielder,Al Ittihad,398,233,165,Cape Verde,5,3,2,0,0,0,0,0,0,0,0,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0.45,199,80,0,0,0,169,188,-1,13
Sekou Junior Sanogo,29,Professional League,2018/2019,Midfielder,Al Ittihad,426,230,196,Côte d'Ivoire,7,2,2,0,0,0,0,0,0,0,0,5,3,2,3,2,1,2,0,0,0,0,0,0,0,0.63,142,61,213,0,0.42,188,172,-1,15
Josef de Souza Dias,30,Professional League,2018/2019,Midfielder,Al Ahli,1241,640,601,Brazil,15,7,7,1,0,1,3,2,1,0,0,6,3,3,13,2,11,5,0,0.29,0.22,0.07,0,0.15,1241,0.94,95,83,248,414,0.36,148,40,-1,12
José Fernando Viana de Santana,31,Professional League,2018/2019,Forward,Al Wahda,834,425,409,Brazil,14,5,4,2,2,0,0,0,0,0,0,4,1,3,8,6,2,2,0,0.22,0,0.22,0.42,0,417,0.86,104,60,417,0,0.22,73,274,-1,4
Alberto Botía Rabasco,30,Professional League,2018/2019,Defender,Al Hilal,1783,810,973,Spain,20,9,11,1,0,1,0,0,0,0,0,6,1,5,19,11,8,6,1,0.05,0,0.05,0,0.09,1783,0.96,94,89,297,0,0.3,162,316,33,15
Sebastião de Freitas Couto Júnior,26,Professional League,2018/2019,Forward,Al Shabab,360,197,163,Brazil,6,3,2,0,0,0,1,1,0,0,0,2,1,1,3,2,1,2,1,0.25,0.25,0,0,0,0,0.75,120,60,120,360,0.75,175,33,-1,20
