full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Didier Ya Konan,34,Professional League,2014/2015,Forward,Al Ittihad,339,98,241,Côte d'Ivoire,6,1,3,2,1,1,0,0,0,0,0,1,0,1,2,0,2,1,0,0.53,0,0.53,0.92,0.37,170,0.53,170,57,339,0,0.27,18,187,-1,7
Daniel Quintana Sosa,31,Professional League,2014/2015,Midfielder,Al Ahli,543,280,263,Spain,7,4,3,1,1,0,1,0,1,0,0,2,1,1,6,3,3,1,0,0.33,0.17,0.17,0.32,0,543,0.99,91,78,543,543,0.17,90,52,-1,14
Mihai Doru Pintilii,33,Professional League,2014/2015,Midfielder,Al Hilal,1035,523,512,Romania,12,6,6,0,0,0,2,1,1,0,0,3,2,1,7,2,5,3,0,0.17,0.17,0,0,0,0,0.61,148,86,345,518,0.26,241,54,-1,26
Bruno César Zanaki,30,Professional League,2014/2015,Midfielder,Al Ahli,262,87,175,Brazil,10,0,2,1,0,1,1,1,0,1,0,4,3,1,2,0,2,2,0,0.69,0.34,0.34,0,0.51,262,0.69,131,26,131,262,0.69,-1,-1,-1,13
Georgios Samaras,33,Professional League,2014/2015,Forward,Al Hilal,334,98,236,Greece,5,1,3,0,0,0,2,1,1,0,0,2,1,1,1,0,1,0,0,0.54,0.54,0,0,0,0,0.27,334,67,0,167,0,172,5,-1,17
Chu-Young Park,33,Professional League,2014/2015,Forward,Al Shabab,520,270,250,South Korea,7,3,2,1,0,1,0,0,0,0,0,4,1,3,4,4,0,1,0,0.17,0,0.17,0,0.36,520,0.69,130,74,520,0,0.17,92,182,-1,8
Isaac Promise,30,Professional League,2014/2015,Forward,Al Ahli,134,85,49,Nigeria,4,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0.67,0,0.67,1.06,0,134,0.67,134,34,0,0,0,-1,-1,-1,12
Łukasz Szukala,34,Professional League,2014/2015,Defender,Al Ittihad,1080,540,540,Poland,12,6,6,3,3,0,1,0,1,0,0,4,0,4,15,10,5,2,0,0.33,0.08,0.25,0.5,0,360,1.25,72,90,540,1080,0.17,64,123,49,5
Moestafa El Kabir,30,Professional League,2014/2015,Forward,Al Ahli,862,384,478,Morocco,11,5,5,3,1,2,1,1,0,0,0,4,1,3,7,4,3,3,0,0.42,0.1,0.31,0.23,0.38,287,0.73,123,78,287,862,0.31,48,99,-1,6
Samba Diakité,29,Professional League,2014/2015,Midfielder,Al Ittihad,540,360,180,Mali,7,4,2,1,1,0,1,0,1,0,0,2,1,1,5,3,2,2,0,0.33,0.17,0.17,0.25,0,540,0.83,108,77,270,540,0.33,89,50,-1,11
Emmanuel Osei Banahene,30,Professional League,2014/2015,Forward,Al Orubah,818,431,387,Ghana,12,5,4,2,1,1,0,0,0,0,0,1,1,0,15,7,8,0,0,0.22,0,0.22,0.21,0.23,409,1.65,55,68,0,0,0,73,241,-1,5
