full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Salman Mohammed Al Faraj,29,Professional League,2017/2018,Midfielder,Al Hilal,1136,450,686,Saudi Arabia,13,5,8,1,0,1,4,2,2,1,0,4,2,2,11,3,8,3,0,0.4,0.32,0.08,0,0.13,1136,0.87,103,87,379,284,0.24,106,12,-1,9
Abdullah Ibrahim Otayf,26,Professional League,2017/2018,Midfielder,Al Hilal,1411,870,541,Saudi Arabia,18,10,7,0,0,0,1,1,0,0,0,5,3,2,14,7,7,2,0,0.06,0.06,0,0,0,0,0.89,101,78,706,1411,0.13,207,119,-1,28
Nicolás Milesi Van Vommel,25,Professional League,2017/2018,Midfielder,Al Hilal,920,552,368,Uruguay,12,7,5,0,0,0,1,1,0,0,0,2,1,1,10,6,4,3,0,0.1,0.1,0,0,0,0,0.98,92,77,307,920,0.29,208,99,-1,27
Omar Khribin,24,Professional League,2017/2018,Forward,Al Hilal,833,281,552,Syria,13,4,6,4,1,3,4,1,3,3,2,2,1,1,11,2,9,2,0,0.86,0.43,0.43,0.32,0.49,208,1.19,76,64,417,208,0.22,26,6,-1,3
Matías Britos Cardoso,29,Professional League,2017/2018,Forward,Al Hilal,380,353,27,Uruguay,6,4,0,1,1,0,1,1,0,0,0,1,1,0,3,3,0,0,0,0.47,0.24,0.24,0.25,0,380,0.71,127,63,0,380,0,54,30,-1,11
Salem Mohammed Al Dawsari,27,Professional League,2017/2018,Midfielder,Al Hilal,975,443,532,Saudi Arabia,13,5,5,4,2,2,1,1,0,0,0,5,3,2,7,2,5,3,0,0.46,0.09,0.37,0.41,0.34,244,0.65,139,75,325,975,0.28,33,100,-1,4
Abdulmalek Abdullah Al Khaibri,32,Professional League,2017/2018,Midfielder,Al Hilal,211,25,186,Saudi Arabia,6,0,2,0,0,0,0,0,0,0,0,3,1,2,1,0,1,1,0,0,0,0,0,0,0,0.43,211,35,211,0,0.43,-1,-1,-1,26
Mohammed Yahya Jahfali,28,Professional League,2017/2018,Defender,Al Hilal,1271,720,551,Saudi Arabia,16,8,6,1,0,1,0,0,0,0,0,5,2,3,10,6,4,3,0,0.07,0,0.07,0,0.16,1271,0.71,127,79,424,0,0.21,111,216,3,13
Ali Abdullah Harib Al Habsi,36,Professional League,2017/2018,Goalkeeper,Al Hilal,900,630,270,Oman,10,7,3,0,0,0,0,0,0,0,0,3,1,2,7,6,1,0,0,0,0,0,0,0,0,0.7,129,90,0,0,0,209,217,2,20
Abdullah Mohammed Al Zoari Al Dossary,31,Professional League,2017/2018,Defender,Al Hilal,358,190,168,Saudi Arabia,6,2,2,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0.75,119,60,0,0,0,210,209,5,24
Moslem Freej,30,Professional League,2017/2018,Goalkeeper,Al Feiha,450,270,180,Saudi Arabia,5,3,2,0,0,0,0,0,0,0,0,0,0,0,12,9,3,0,0,0,0,0,0,0,0,2.4,38,90,0,0,0,211,198,105,16
Emilio Arturo Izaguirre Girón,32,Professional League,2017/2018,Defender,Al Feiha,1362,706,656,Honduras,17,8,7,0,0,0,0,0,0,0,1,4,3,1,23,11,12,3,0,0,0,0,0,0,0,1.52,59,80,454,0,0.2,212,188,75,19
Hassan Muath Fallatah,32,Professional League,2017/2018,Defender,Al Feiha,1102,557,545,Saudi Arabia,14,6,6,2,2,0,0,0,0,0,0,4,3,1,18,8,10,1,0,0.16,0,0.16,0.32,0,551,1.47,61,79,1102,0,0.08,76,197,67,4
Admilson Estaline Dias de Barros,30,Professional League,2017/2018,Defender,Al Feiha,739,289,450,Cape Verde,10,3,5,1,0,1,0,0,0,0,0,1,1,0,16,8,8,1,0,0.12,0,0.12,0,0.2,739,1.95,46,74,739,0,0.12,88,180,95,7
Abdullah Kano,28,Professional League,2017/2018,Defender,Al Feiha,1258,632,626,Saudi Arabia,17,7,7,1,1,0,0,0,0,0,0,4,3,1,23,11,12,6,0,0.07,0,0.07,0.14,0,1258,1.65,55,74,210,0,0.43,112,181,80,8
Abdulmajeed Abdullah Al Ruwaili,32,Professional League,2017/2018,Midfielder,Al Feiha,854,384,470,Saudi Arabia,11,4,6,0,0,0,2,1,1,0,0,2,2,0,19,8,11,0,0,0.21,0.21,0,0,0,0,2,45,78,0,427,0,213,42,-1,24
Abdulah Saud Al Mutairi,32,Professional League,2017/2018,Midfielder,Al Feiha,801,387,414,Saudi Arabia,15,4,5,0,0,0,0,0,0,0,0,3,2,1,13,5,8,3,0,0,0,0,0,0,0,1.46,62,53,267,0,0.34,204,182,-1,23
Abdulrahman Al Barakah,28,Professional League,2017/2018,Midfielder,Al Feiha,171,81,90,Saudi Arabia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0,2.11,43,86,171,0,0.53,-1,-1,-1,22
Abdulkarim Ayidh Al Qahtani,25,Professional League,2017/2018,Midfielder,Al Feiha,440,239,201,Saudi Arabia,10,4,1,0,0,0,0,0,0,0,0,1,1,0,8,3,5,1,0,0,0,0,0,0,0,1.64,55,44,440,0,0.2,192,183,-1,21
Daifallah Al Qarni,29,Professional League,2017/2018,Midfielder,Al Feiha,275,183,92,Saudi Arabia,5,2,2,0,0,0,0,0,0,0,0,1,1,0,5,4,1,0,0,0,0,0,0,0,0,1.64,55,55,0,0,0,182,184,-1,20
Ronnie Alan Fernández Sáez,27,Professional League,2017/2018,Forward,Al Feiha,1614,894,720,Chile,18,10,8,9,4,5,2,1,1,2,1,4,3,1,25,14,11,3,0,0.61,0.11,0.5,0.4,0.63,179,1.39,65,90,538,807,0.17,17,91,-1,1
Alexandros Tziolis,33,Professional League,2017/2018,Midfielder,Al Feiha,1474,885,589,Greece,18,10,6,2,1,1,0,0,0,0,0,4,3,1,26,15,11,3,0,0.12,0,0.12,0.1,0.15,737,1.59,57,82,491,0,0.18,89,185,-1,5
John Jairo Ruiz Barrantes,24,Professional League,2017/2018,Forward,Al Feiha,935,549,386,Costa Rica,13,6,4,2,1,1,3,2,1,0,0,2,2,0,17,11,6,3,0,0.48,0.29,0.19,0.16,0.23,468,1.64,55,72,312,312,0.29,62,19,-1,3
Danilo Moreno Asprilla,29,Professional League,2017/2018,Midfielder,Al Feiha,1156,614,542,Colombia,17,6,6,5,4,1,2,2,0,0,0,4,3,1,21,12,9,3,0,0.54,0.16,0.39,0.59,0.17,231,1.63,55,68,385,578,0.23,29,59,-1,2
Abdullah Al Salem,25,Professional League,2017/2018,Midfielder,Al Feiha,725,429,296,Saudi Arabia,13,5,3,2,2,0,0,0,0,0,0,3,2,1,13,8,5,0,0,0.25,0,0.25,0.42,0,363,1.61,56,56,0,0,0,50,186,-1,6
Sami Al Khaibari,29,Professional League,2017/2018,Defender,Al Feiha,1440,720,720,Saudi Arabia,16,8,8,0,0,0,2,2,0,0,0,4,3,1,21,8,13,5,0,0.13,0.13,0,0,0,0,1.31,69,90,288,720,0.31,191,74,50,18
Abdulrahman Dagriri,28,Professional League,2017/2018,Goalkeeper,Al Feiha,630,360,270,Saudi Arabia,7,4,3,0,0,0,1,1,0,0,0,3,2,1,9,3,6,0,0,0.14,0.14,0,0,0,0,1.29,70,90,0,630,0,173,66,45,17
Hassen Jaaferi,27,Professional League,2017/2018,Midfielder,Al Feiha,538,358,180,Saudi Arabia,6,4,2,0,0,0,0,0,0,0,0,3,2,1,7,3,4,2,0,0,0,0,0,0,0,1.17,77,90,269,0,0.33,174,179,-1,10
Mohammed Aseari,26,Professional League,2017/2018,Goalkeeper,Al Quadisiya,180,90,90,Saudi Arabia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1.5,60,90,0,0,0,-1,-1,-1,17
Fawaz Fallatah,29,Professional League,2017/2018,Defender,Al Quadisiya,394,226,168,Saudi Arabia,5,3,2,0,0,0,0,0,0,0,0,0,0,0,7,4,3,2,0,0,0,0,0,0,0,1.6,56,79,197,0,0.46,175,187,78,20
Mohammed Al Khabrani,25,Professional League,2017/2018,Defender,Al Quadisiya,540,270,270,Saudi Arabia,6,3,3,0,0,0,0,0,0,0,0,0,0,0,12,7,5,1,0,0,0,0,0,0,0,2,45,90,540,0,0.17,176,189,98,27
Abdulrahman Al Obaid,25,Professional League,2017/2018,Defender,Al Quadisiya,1345,540,805,Saudi Arabia,15,6,9,1,0,1,1,1,0,0,0,3,2,1,19,5,14,4,0,0.13,0.07,0.07,0,0.11,1345,1.27,71,90,336,1345,0.27,108,113,41,6
Yaseen Barnawi,25,Professional League,2017/2018,Defender,Al Quadisiya,1530,810,720,Saudi Arabia,17,9,8,0,0,0,2,1,1,0,0,3,2,1,24,12,12,5,0,0.12,0.12,0,0,0,0,1.41,64,90,306,765,0.29,177,86,58,26
Élton José Xavier Gomes,32,Professional League,2017/2018,Midfielder,Al Quadisiya,1593,788,805,Brazil,18,9,9,3,2,1,2,2,0,1,0,3,2,1,27,13,14,0,0,0.28,0.11,0.17,0.23,0.11,531,1.53,59,89,0,797,0,70,87,-1,3
Naif Hazazi,26,Professional League,2017/2018,Midfielder,Al Quadisiya,1098,483,615,Saudi Arabia,15,5,7,0,0,0,0,0,0,0,0,3,2,1,15,5,10,1,0,0,0,0,0,0,0,1.23,73,73,1098,0,0.08,178,190,-1,25
Fahad Al Johani,27,Professional League,2017/2018,Forward,Al Quadisiya,407,221,186,Saudi Arabia,10,2,1,0,0,0,0,0,0,0,0,3,2,1,5,3,2,0,0,0,0,0,0,0,0,1.11,81,41,0,0,0,179,191,-1,24
Bismark de Araújo Ferreira,25,Professional League,2017/2018,Forward,Al Quadisiya,1246,599,647,Brazil,15,7,8,5,3,2,2,0,2,1,0,1,1,0,22,8,14,1,0,0.51,0.14,0.36,0.45,0.28,249,1.59,57,83,1246,623,0.07,35,68,-1,1
Mazen Abu Shararah,27,Professional League,2017/2018,Forward,Al Quadisiya,480,245,235,Saudi Arabia,15,2,1,0,0,0,1,0,1,0,0,2,1,1,7,4,3,0,0,0.19,0.19,0,0,0,0,1.31,69,32,0,480,0,180,48,-1,23
Bi Bola Hervé Guy,34,Professional League,2017/2018,Forward,Al Quadisiya,496,316,180,Côte d'Ivoire,6,4,2,0,0,0,2,1,1,0,0,0,0,0,11,7,4,0,0,0.36,0.36,0,0,0,0,2,45,83,0,248,0,172,8,-1,22
Hassan Alamiri,24,Professional League,2017/2018,Midfielder,Al Quadisiya,598,282,316,Saudi Arabia,12,4,4,0,0,0,0,0,0,0,0,1,0,1,10,3,7,3,0,0,0,0,0,0,0,1.51,60,50,199,0,0.45,181,192,-1,21
Stanley Nka Ohawuchi,28,Professional League,2017/2018,Forward,Al Quadisiya,1363,659,704,Nigeria,18,7,8,4,3,1,2,1,1,0,0,3,2,1,22,11,11,3,0,0.4,0.13,0.26,0.41,0.13,341,1.45,62,76,454,682,0.2,46,76,-1,2
Abdulmuhsen Fallatah,24,Professional League,2017/2018,Defender,Al Quadisiya,1291,722,569,Saudi Arabia,16,8,6,2,1,1,0,0,0,0,0,3,2,1,21,12,9,2,0,0.14,0,0.14,0.12,0.16,646,1.46,61,81,646,0,0.14,81,193,65,4
Wesam Waheab Mudhaya,26,Professional League,2017/2018,Forward,Al Quadisiya,69,69,0,Saudi Arabia,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3.91,23,23,0,0,0,-1,-1,-1,28
Nawaf Al Sabhi,31,Professional League,2017/2018,Defender,Al Quadisiya,202,22,180,Saudi Arabia,4,0,2,0,0,0,0,0,0,0,0,1,1,0,5,1,4,0,0,0,0,0,0,0,0,2.23,40,51,0,0,0,-1,-1,-1,19
Ahmad Ali Al Harbi,24,Professional League,2017/2018,Goalkeeper,Al Raed,540,270,270,Saudi Arabia,6,3,3,0,0,0,0,0,0,0,0,0,0,0,14,7,7,0,0,0,0,0,0,0,0,2.33,39,90,0,0,0,183,194,104,10
Eli Sabia Filho,30,Professional League,2017/2018,Defender,Al Raed,1350,720,630,Brazil,15,8,7,0,0,0,1,1,0,0,0,1,1,0,29,16,13,2,0,0.07,0.07,0,0,0,0,1.93,47,90,675,1350,0.13,184,111,94,20
Kassim Abdallah Mfoihaia,31,Professional League,2017/2018,Defender,Al Raed,939,426,513,Comoros,11,5,6,1,1,0,0,0,0,0,0,0,0,0,24,12,12,2,0,0.1,0,0.1,0.21,0,939,2.3,39,85,470,0,0.19,96,195,103,7
Abdullah Abdulkarim Al Shamekh,25,Professional League,2017/2018,Defender,Al Raed,1510,700,810,Saudi Arabia,17,8,9,0,0,0,1,0,1,0,0,1,1,0,31,15,16,5,0,0.06,0.06,0,0,0,0,1.85,49,89,302,1510,0.3,185,123,91,24
Fahad Muqbil Al Rashidi,27,Professional League,2017/2018,Midfielder,Al Raed,597,274,323,Saudi Arabia,10,4,4,0,0,0,0,0,0,0,0,0,0,0,14,8,6,1,0,0,0,0,0,0,0,2.11,43,60,597,0,0.15,186,196,-1,23
Wander Luiz Bitencourt Junior,31,Professional League,2017/2018,Midfielder,Al Raed,1164,670,494,Brazil,14,8,5,1,0,1,3,2,1,0,0,1,1,0,25,15,10,0,0,0.31,0.23,0.08,0,0.18,1164,1.93,47,83,0,388,0,107,38,-1,8
Daniel Lopes Amora,31,Professional League,2017/2018,Midfielder,Al Raed,934,476,458,Brazil,12,5,5,3,1,2,2,0,2,0,0,1,1,0,21,12,9,3,0,0.48,0.19,0.29,0.19,0.39,311,2.02,44,78,311,467,0.29,43,47,-1,4
Sultan Al Sawadi,25,Professional League,2017/2018,Midfielder,Al Raed,1122,595,527,Saudi Arabia,17,7,5,2,1,1,3,1,2,0,0,1,1,0,24,15,9,3,1,0.4,0.24,0.16,0.15,0.17,561,1.93,47,66,374,374,0.24,75,35,-1,5
Murad Al Rashidi,27,Professional League,2017/2018,Midfielder,Al Raed,1169,612,557,Saudi Arabia,16,6,6,1,1,0,2,0,2,0,0,1,1,0,28,19,9,5,0,0.23,0.15,0.08,0.15,0,1169,2.16,42,73,234,585,0.38,103,61,-1,9
Ismaël Bangoura,33,Professional League,2017/2018,Forward,Al Raed,1483,851,632,Guinea,18,10,7,7,5,2,3,3,0,1,0,1,1,0,31,21,10,3,1,0.61,0.18,0.42,0.53,0.28,212,1.88,48,82,494,494,0.18,27,50,-1,1
Abdulaziz Mohasen Aljamman Aldossary,22,Professional League,2017/2018,Forward,Al Raed,267,153,114,Saudi Arabia,7,2,1,0,0,0,1,0,1,0,0,0,0,0,6,5,1,0,0,0.34,0.34,0,0,0,0,2.02,45,38,0,267,0,-1,-1,-1,22
Bader Mansoor Al Sulaiteen,28,Professional League,2017/2018,Midfielder,Al Raed,78,11,67,Saudi Arabia,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,3.46,26,26,0,0,0,-1,-1,-1,21
Faris Al Alayaf,26,Professional League,2017/2018,Forward,Al Raed,862,442,420,Saudi Arabia,11,5,5,0,0,0,0,0,0,0,0,1,1,0,18,7,11,2,0,0,0,0,0,0,0,1.88,48,78,431,0,0.21,187,218,-1,17
Saleh Khalid Al Shehri,25,Professional League,2017/2018,Forward,Al Raed,184,94,90,Saudi Arabia,11,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1.47,61,17,0,0,0,-1,-1,-1,19
Yahya Al Muslem,31,Professional League,2017/2018,Defender,Al Raed,757,315,442,Saudi Arabia,9,4,5,2,1,1,0,0,0,0,0,1,1,0,17,9,8,0,0,0.24,0,0.24,0.29,0.2,379,2.02,45,84,0,0,0,51,199,99,6
Husein Al Shuwaish,30,Professional League,2017/2018,Defender,Al Raed,863,585,278,Saudi Arabia,11,6,3,0,0,0,0,0,0,0,0,1,1,0,19,13,6,1,0,0,0,0,0,0,0,1.98,45,78,863,0,0.1,188,219,96,18
