full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdullah Hussain Al Oaisher,27,Professional League,2017/2018,Goalkeeper,Al Fateh,180,90,90,Saudi Arabia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,4,23,90,0,0,0,-1,-1,-1,22
Abdullah Mubarak Al Dawsari,28,Professional League,2017/2018,Defender,Al Fateh,320,180,140,Saudi Arabia,5,2,1,0,0,0,0,0,0,0,0,1,0,1,9,6,3,3,0,0,0,0,0,0,0,2.53,36,64,107,0,0.84,170,177,106,12
Majed Hazazi,30,Professional League,2017/2018,Defender,Al Fateh,790,386,404,Saudi Arabia,13,4,4,0,0,0,1,1,0,0,0,4,3,1,15,7,8,3,0,0.11,0.11,0,0,0,0,1.71,53,61,263,790,0.34,218,90,84,21
Ahmed Mohammed Sharahili,24,Professional League,2017/2018,Defender,Al Fateh,1522,802,720,Saudi Arabia,17,9,8,0,0,0,1,1,0,0,0,6,3,3,22,13,9,3,0,0.06,0.06,0,0,0,0,1.3,69,90,507,1522,0.18,195,117,49,18
Mohammed Alfehaid,28,Professional League,2017/2018,Midfielder,Al Fateh,1582,883,699,Saudi Arabia,18,10,8,0,0,0,0,0,0,0,0,6,3,3,27,16,11,6,0,0,0,0,0,0,0,1.54,59,88,264,0,0.34,196,201,-1,13
Abdelkader Oueslati Kaabi,27,Professional League,2017/2018,Midfielder,Al Fateh,1216,675,541,Tunisia,15,8,7,5,3,2,1,0,1,2,1,4,2,2,23,15,8,2,1,0.44,0.07,0.37,0.4,0.33,243,1.7,53,81,608,1216,0.15,34,112,-1,2
Nouh Al mousa,27,Professional League,2017/2018,Midfielder,Al Fateh,1063,613,450,Saudi Arabia,12,7,5,0,0,0,2,1,1,0,0,5,3,2,13,8,5,3,0,0.17,0.17,0,0,0,0,1.1,82,89,354,532,0.25,197,55,-1,11
Abdullah Khalid Al Ammar,24,Professional League,2017/2018,Midfielder,Al Fateh,1318,720,598,Saudi Arabia,15,8,6,0,0,0,0,0,0,0,0,5,3,2,21,11,10,3,0,0,0,0,0,0,0,1.43,63,88,439,0,0.2,198,202,-1,10
Riyadh Sharahili,25,Professional League,2017/2018,Midfielder,Al Fateh,751,306,445,Saudi Arabia,15,3,5,0,0,0,1,0,1,0,0,5,2,3,20,12,8,0,0,0.12,0.12,0,0,0,0,2.4,38,50,0,751,0,199,81,-1,9
Hamad Al Juhaim,31,Professional League,2017/2018,Forward,Al Fateh,381,223,158,Saudi Arabia,14,2,1,1,1,0,0,0,0,0,0,5,3,2,8,7,1,2,0,0.24,0,0.24,0.4,0,381,1.89,48,27,191,0,0.47,52,203,-1,5
Ali Al Zaqan,27,Professional League,2017/2018,Forward,Al Fateh,1309,651,658,Saudi Arabia,16,8,8,5,3,2,2,1,1,0,1,6,3,3,22,12,10,3,1,0.48,0.14,0.34,0.41,0.27,262,1.51,60,82,436,655,0.21,38,69,-1,3
Saith Sakala,22,Professional League,2017/2018,Midfielder,Al Fateh,1169,593,576,Zambia,16,7,7,2,0,2,0,0,0,0,0,5,3,2,16,8,8,1,0,0.15,0,0.15,0,0.31,585,1.23,73,73,1169,0,0.08,77,204,-1,4
Sandro Manoel Dos Santos,30,Professional League,2017/2018,Midfielder,Al Fateh,1565,845,720,Brazil,18,9,8,1,1,0,2,1,1,0,0,6,3,3,24,15,9,3,0,0.17,0.12,0.06,0.11,0,1565,1.38,65,87,522,783,0.17,118,80,-1,7
Mohamed Ali Yacoubi,28,Professional League,2017/2018,Defender,Al Fateh,572,270,302,Tunisia,7,3,4,0,0,0,0,0,0,0,0,0,0,0,13,7,6,1,0,0,0,0,0,0,0,2.05,44,82,572,0,0.16,200,205,101,14
Abdullah Al Yousif,21,Professional League,2017/2018,Defender,Al Fateh,146,90,56,Saudi Arabia,3,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0,0,0,0,0,0,0,3.08,29,49,146,0,0.62,-1,-1,-1,15
Mohammed Al Majhad,20,Professional League,2017/2018,Midfielder,Al Fateh,96,32,64,Saudi Arabia,6,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,3.75,24,16,0,0,0,-1,-1,-1,16
Essam Kamal Tawfik El Hadary,45,Professional League,2017/2018,Goalkeeper,Al Taawon,1710,900,810,Egypt,19,10,9,1,1,0,0,0,0,1,0,5,5,0,22,10,12,1,0,0.05,0,0.05,0.1,0,1710,1.16,78,90,1710,0,0.05,121,206,30,12
Ricardo Jorge Tavares Machado,30,Professional League,2017/2018,Defender,Al Taawon,841,391,450,Portugal,11,4,5,2,2,0,1,0,1,0,0,4,4,0,13,6,7,1,0,0.32,0.11,0.21,0.46,0,421,1.39,65,76,841,841,0.11,58,89,55,6
Ibrahim Al Zubaidi,29,Professional League,2017/2018,Defender,Al Taawon,1040,614,426,Saudi Arabia,13,7,5,0,0,0,0,0,0,0,0,4,4,0,12,7,5,4,0,0,0,0,0,0,0,1.04,87,80,260,0,0.35,201,207,18,20
Talal Alabsi,25,Professional League,2017/2018,Defender,Al Taawon,90,0,90,Saudi Arabia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,17
Mostafa Fathi,24,Professional League,2017/2018,Defender,Al Taawon,471,280,191,Egypt,8,3,2,5,4,1,1,1,0,0,0,2,2,0,9,6,3,0,0,1.15,0.19,0.96,1.29,0.47,94,1.72,52,59,0,471,0,3,49,85,2
Jehad Fadel Al Hussain,36,Professional League,2017/2018,Midfielder,Al Taawon,1505,871,634,Syria,18,10,7,1,0,1,9,6,3,0,0,5,5,0,19,10,9,2,0,0.6,0.54,0.06,0,0.14,1505,1.14,79,84,753,167,0.12,120,3,-1,14
Madallah Alolayan,24,Professional League,2017/2018,Midfielder,Al Taawon,1004,554,450,Saudi Arabia,14,6,5,0,0,0,0,0,0,0,0,5,5,0,11,6,5,2,0,0,0,0,0,0,0,0.99,91,72,502,0,0.18,202,200,-1,16
Ryan Al Mousa,24,Professional League,2017/2018,Midfielder,Al Taawon,1454,788,666,Saudi Arabia,17,9,8,0,0,0,2,2,0,0,0,5,5,0,20,8,12,4,0,0.12,0.12,0,0,0,0,1.24,73,86,364,727,0.25,194,84,-1,15
Abdulmajeed Abdullah Al-Swat,23,Professional League,2017/2018,Midfielder,Al Taawon,1231,646,585,Saudi Arabia,17,7,6,5,3,2,1,1,0,0,0,4,4,0,16,10,6,1,0,0.44,0.07,0.37,0.42,0.31,246,1.17,77,72,1231,1231,0.07,32,109,-1,1
Cedric Amissi,28,Professional League,2017/2018,Forward,Al Taawon,1620,810,810,Burundi,18,9,9,5,1,4,0,0,0,0,0,5,5,0,20,8,12,5,0,0.28,0,0.28,0.11,0.44,324,1.11,81,90,324,0,0.28,44,208,-1,3
Al-Hadji Kamara,24,Professional League,2017/2018,Forward,Al Taawon,898,519,379,Sierra Leone,14,7,4,5,4,1,1,0,1,0,0,4,4,0,11,6,5,1,0,0.6,0.1,0.5,0.69,0.24,180,1.1,82,64,898,898,0.1,18,95,-1,4
Saeed Mohammed Al Dosari,28,Professional League,2017/2018,Midfielder,Al Taawon,924,596,328,Saudi Arabia,15,7,4,1,0,1,1,1,0,0,0,4,4,0,9,5,4,1,0,0.19,0.1,0.1,0,0.27,924,0.88,103,62,924,924,0.1,97,98,-1,13
Naif Mousa,31,Professional League,2017/2018,Defender,Al Taawon,953,479,474,Saudi Arabia,17,5,5,1,1,0,1,1,0,0,0,4,4,0,13,4,9,1,0,0.19,0.09,0.09,0.19,0,953,1.23,73,56,953,953,0.09,102,103,38,11
Abdulaziz Al Sharid,24,Professional League,2017/2018,Midfielder,Ohod,142,80,62,Saudi Arabia,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,-1,-1,-1,28
Abdullah Haif Al Shammari,25,Professional League,2017/2018,Defender,Al Taawon,1260,630,630,Saudi Arabia,14,7,7,1,1,0,0,0,0,0,0,3,3,0,18,8,10,2,0,0.07,0,0.07,0.14,0,1260,1.29,70,90,630,0,0.14,110,210,42,10
Ismael Mohammedjammui Al Maghrabi,27,Professional League,2017/2018,Forward,Al Taawon,452,193,259,Saudi Arabia,11,1,3,1,0,1,0,0,0,0,0,2,2,0,7,3,4,1,0,0.2,0,0.2,0,0.35,452,1.39,65,41,452,0,0.2,60,211,-1,9
Jufain Ali Al Bishi,31,Professional League,2017/2018,Defender,Al Taawon,1295,720,575,Saudi Arabia,15,8,6,2,1,1,1,0,1,1,0,4,4,0,15,6,9,2,0,0.21,0.07,0.14,0.13,0.16,648,1.04,86,86,648,1295,0.14,82,107,19,8
Abdullah Ibrahim Al Maiouf,31,Professional League,2017/2018,Goalkeeper,Al Hilal,810,270,540,Saudi Arabia,9,3,6,0,0,0,0,0,0,0,0,3,2,1,9,1,8,0,0,0,0,0,0,0,0,1,90,90,0,0,0,203,212,17,16
Osama Abdulrezag Hawsawi,34,Professional League,2017/2018,Defender,Al Hilal,1103,406,697,Saudi Arabia,13,5,8,0,0,0,0,0,0,0,0,4,2,2,10,2,8,2,0,0,0,0,0,0,0,0.82,110,85,552,0,0.16,205,213,6,25
Yasir Gharsan Al Shahrani,26,Professional League,2017/2018,Defender,Al Hilal,1260,540,720,Saudi Arabia,14,6,8,2,1,1,2,0,2,0,0,4,2,2,13,4,9,2,0,0.29,0.14,0.14,0.17,0.13,630,0.93,97,90,630,630,0.14,83,67,12,5
Abdullah Fareed Al Hafith,25,Professional League,2017/2018,Defender,Al Hilal,893,603,290,Saudi Arabia,12,7,3,2,2,0,0,0,0,0,0,2,2,0,11,5,6,2,0,0.2,0,0.2,0.3,0,447,1.11,81,74,447,0,0.2,59,214,26,6
Mohammed Al Burayk,26,Professional League,2017/2018,Defender,Al Hilal,1138,530,608,Saudi Arabia,13,6,7,1,0,1,1,1,0,0,0,4,1,3,11,5,6,2,0,0.16,0.08,0.08,0,0.15,1138,0.87,103,88,569,1138,0.16,104,104,9,8
Carlos Eduardo de Oliveira Alves,29,Professional League,2017/2018,Midfielder,Al Hilal,700,430,270,Brazil,8,5,3,6,2,4,0,0,0,1,0,1,1,0,9,4,5,1,0,0.77,0,0.77,0.42,1.33,117,1.16,78,88,700,0,0.13,4,215,-1,2
Nawaf Shaker Al Abid,28,Professional League,2017/2018,Midfielder,Al Hilal,746,252,494,Saudi Arabia,11,4,6,0,0,0,1,0,1,0,0,4,2,2,8,1,7,1,0,0.12,0.12,0,0,0,0,0.97,93,68,746,746,0.12,206,83,-1,29
