full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Mukhtar Fallatah,31,Professional League,2013/2014,Forward,Al Ittihad,1930,930,1000,Saudi Arabia,25,11,11,20,7,13,0,0,0,7,0,2,2,0,34,14,20,4,1,0.93,0,0.93,0.68,1.17,97,1.59,57,77,483,0,0.19,3,26,-1,1
Fahad Mosaed Al Muwallad Al Harbi,24,Professional League,2013/2014,Forward,Al Ittihad,2035,911,1124,Saudi Arabia,25,10,12,5,2,3,0,0,0,0,0,1,1,0,40,14,26,5,0,0.22,0,0.22,0.2,0.24,407,1.77,51,81,407,0,0.22,61,19,-1,2
Salman Ahmed Al Sibyani,28,Professional League,2013/2014,Forward,Al Ittihad,278,88,190,Saudi Arabia,9,1,2,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,2.91,31,31,0,0,0,263,25,-1,29
Maan Sultan Khodary,26,Professional League,2013/2014,Midfielder,Al Ittihad,198,54,144,Saudi Arabia,7,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,5,1,0,0,0,0,0,0,0,2.73,33,28,198,0,0.45,-1,-1,-1,28
Hattan Babhir,26,Professional League,2013/2014,Midfielder,Al Ittihad,126,105,21,Saudi Arabia,5,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0.71,126,25,126,0,0.71,-1,-1,-1,27
Mabrouk Zayed,39,Professional League,2013/2014,Goalkeeper,Al Ittihad,90,0,90,Saudi Arabia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,18,90,0,0,0,-1,-1,-1,26
Rashed Abdulrahman Al Rahab,34,Professional League,2013/2014,Defender,Al Ittihad,985,625,360,Saudi Arabia,11,7,4,0,0,0,0,0,0,0,0,1,1,0,16,10,6,0,0,0,0,0,0,0,0,1.46,62,90,0,0,0,264,24,84,25
Osama Mabrouk Awad Al Harbi Al Muwallad,34,Professional League,2013/2014,Defender,Al Ittihad,270,90,180,Saudi Arabia,3,1,2,0,0,0,0,0,0,0,0,0,0,0,9,2,7,1,0,0,0,0,0,0,0,3,30,90,270,0,0.33,-1,-1,-1,32
Hamad Mohsen Al Montashari,36,Professional League,2013/2014,Defender,Al Ittihad,515,180,335,Saudi Arabia,6,2,4,0,0,0,0,0,0,0,0,0,0,0,14,5,9,0,0,0,0,0,0,0,0,2.45,37,86,0,0,0,265,23,117,24
Hamad Muhanna Al Hamad,31,Professional League,2013/2014,Midfielder,Al Ittifaq,1614,704,910,Saudi Arabia,23,8,11,3,0,3,0,0,0,0,0,7,5,2,20,4,16,2,0,0.17,0,0.17,0,0.3,538,1.12,81,70,807,0,0.11,80,22,-1,4
