,home_team_name,Result,away_team_name,home_ppg,away_ppg,home_team_shots_on_target,away_team_shots_on_target,home_team_corner_count,away_team_corner_count,HAS,HDS,AAS,ADS
162,Al Nahdha,0,Al Orubah,1.0,1.23,-1,-1,-1,-1,0.15655088360755637,0.25486111111111115,0.14940134099616859,0.2832825512898639
163,Al Faisaly,1,Najran,1.62,0.62,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.41305076628352494,0.5665651025797278
164,Al Nassr,2,Al Ittihad,2.62,0.92,-1,-1,-1,-1,1.0884013812715825,0.5624521072796935,1.2039990421455937,0.8051188299817185
165,Al Hilal,2,Al Shoalah,2.54,1.08,7,5,4,2,1.2747714808043875,0.5009339080459769,0.18455459770114943,0.3801950030469226
166,Al Ahli,0,Al Shabab,1.85,1.0,3,4,2,3,1.177859029047329,0.5800287356321838,0.7206417624521072,0.6336583384115377
167,Al Fateh,2,Al Ittifaq,1.69,0.77,3,2,6,7,0.7902092220190942,0.7733716475095785,0.43941570881226055,0.7082063782246598
168,Al Orubah,0,Al Taawon,1.0,1.31,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,0.9139846743295018,0.8125736339630306
169,Al Raed,1,Al Fateh,1.23,0.46,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.7382183908045977,0.8871216737761528
170,Al Hilal,6,Al Nahdha,2.54,0.23,5,8,3,1,1.2747714808043875,0.5009339080459769,0.07030651340996169,0.2907373552711761
171,Al Ittifaq,0,Al Faisaly,1.23,0.85,3,2,6,2,0.5218362786918546,0.5976053639846743,0.711853448275862,0.7678448100751574
172,Najran,-5,Al Ahli,1.54,1.62,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,1.370977011494253,0.64111314239285
173,Al Ittihad,3,Al Shoalah,1.54,1.08,5,2,5,2,0.8796668697948405,0.9755028735632184,0.18455459770114943,0.3801950030469226
174,Al Shabab,0,Al Nassr,1.85,2.38,8,4,5,6,0.8349380459069674,0.7821599616858238,1.2391522988505748,0.5889295145236645
175,Al Shabab,-2,Al Orubah,1.85,1.23,5,9,4,4,0.8349380459069674,0.7821599616858238,0.14940134099616859,0.2832825512898639
176,Al Ahli,1,Al Ittifaq,1.85,0.77,4,2,7,3,1.177859029047329,0.5800287356321838,0.43941570881226055,0.7082063782246598
177,Al Shoalah,0,Al Raed,0.92,1.0,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,0.7382183908045977,1.036217753402397
178,Al Taawon,0,Al Nassr,1.38,2.38,2,3,5,9,1.0884013812715825,0.7997365900383141,1.2391522988505748,0.5889295145236645
179,Najran,2,Al Ittihad,1.54,0.92,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,1.2039990421455937,0.8051188299817185
180,Al Faisaly,1,Al Nahdha,1.62,0.23,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.07030651340996169,0.2907373552711761
181,Al Fateh,-1,Al Hilal,1.69,2.31,4,3,3,1,0.7902092220190942,0.7733716475095785,1.2127873563218392,0.4696526508226691
182,Al Ittihad,1,Al Faisaly,2.0,1.15,4,2,4,2,0.8796668697948405,0.9755028735632184,0.711853448275862,0.7678448100751574
183,Al Hilal,3,Al Orubah,2.38,0.15,-1,-1,-1,-1,1.2747714808043875,0.5009339080459769,0.14940134099616859,0.2832825512898639
184,Al Shoalah,-2,Al Hilal,1.38,1.77,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,1.2127873563218392,0.4696526508226691
