timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1440006300,Aug 19 2015 - 5:45pm,complete,16883,Al Hilal,Al Wahda,0.00,0.00,2.08,1.00,2,0,2,2,2,0,"8,26","",-1,-1,0,0,2,0,-2,-2,-1,-1,-1,-1,-1,-1,50,50,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Fahd International Stadium (Ar-Riyāḍ (Riyadh))
1440086100,Aug 20 2015 - 3:55pm,complete,315,Al Khaleej,Al Fateh,0.00,0.00,1.00,1.38,0,2,2,2,0,2,"","25,38",-1,-1,1,1,0,0,-2,-2,-1,-1,-1,-1,-1,-1,50,50,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Al-Qadasiya Club Stadium (al-Khobar (Khobar))
1440094500,Aug 20 2015 - 6:15pm,complete,4721,Najran,Al Ittihad,0.00,0.00,0.77,2.00,1,2,3,1,0,1,"90'1","16,62",-1,-1,2,0,1,0,-2,-2,-1,-1,-1,-1,-1,-1,52,48,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Abdul Aziz Stadium (Makkah (Mecca))
1440173700,Aug 21 2015 - 4:15pm,complete,2953,Al Taawon,Al Ahli,0.00,0.00,2.23,2.54,0,0,0,0,0,0,"","",6,7,2,0,1,0,9,8,4,0,5,8,18,23,41,59,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1440180900,Aug 21 2015 - 6:15pm,complete,6173,Al Nassr,Hajer,0.00,0.00,1.38,0.46,0,0,0,0,0,0,"","",8,1,0,0,3,0,16,7,6,4,10,3,11,16,67,33,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Fahd International Stadium (Ar-Riyāḍ (Riyadh))
1440258900,Aug 22 2015 - 3:55pm,complete,182,Al Quadisiya,Al Faisaly,0.00,0.00,1.31,1.23,1,0,1,1,1,0,"29","",2,2,0,0,1,0,7,4,2,2,5,2,17,18,46,54,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Saud bin Jalawi Stadium (al-Khobar (Khobar))
1440266400,Aug 22 2015 - 6:00pm,complete,895,Al Shabab,Al Raed,0.00,0.00,1.38,0.69,3,1,4,0,0,0,"51,70,90'4","75",5,3,2,0,5,0,17,5,4,3,13,2,14,13,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1440690300,Aug 27 2015 - 3:45pm,complete,3127,Al Khaleej,Al Ahli,0.00,1.00,1.00,2.54,0,4,4,1,0,1,"","4,48,68,82",5,6,2,0,2,1,12,9,6,5,6,4,18,11,45,55,1.00,0,50,0,0,0,50,50,6.00,4.00,0.00,0,0,0,0,0,0,0,0,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1440698400,Aug 27 2015 - 6:00pm,complete,5401,Al Raed,Al Ittihad,0.00,3.00,1.15,2.00,0,2,2,0,0,0,"","81,89",2,11,3,0,4,0,10,13,5,4,5,9,16,17,39,61,1.50,50,50,50,0,0,0,50,-1.00,1.00,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1440776700,Aug 28 2015 - 3:45pm,complete,684,Hajer,Al Shabab,0.00,0.00,0.23,1.62,1,2,3,1,0,1,"54","38,52",3,6,1,0,0,0,8,7,5,2,3,5,12,16,49,51,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Jalawi Sports City Stadium (Al-Hasa)
1440776700,Aug 28 2015 - 3:45pm,complete,8023,Al Quadisiya,Al Nassr,3.00,0.00,1.31,1.08,2,2,4,2,0,2,"66,90'7","14,17",5,4,6,0,3,0,14,9,8,7,6,2,11,17,44,56,0.50,0,0,0,0,0,0,50,2.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1440784800,Aug 28 2015 - 6:00pm,complete,232,Al Faisaly,Al Taawon,0.00,0.00,1.00,1.23,1,2,3,1,1,0,"16","90'2,90'4",5,10,3,0,2,1,11,16,3,8,8,8,16,13,35,65,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Salman bin Abdulaziz Sport City Stadium (Al Majma'ah)
1440863100,Aug 29 2015 - 3:45pm,complete,11688,Al Fateh,Al Hilal,0.00,0.00,1.77,2.15,1,2,3,2,1,1,"42","29,80",1,4,0,0,1,0,8,17,3,9,5,8,14,10,38,62,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Jalawi Sports City Stadium (Al-Hasa)
1440871200,Aug 29 2015 - 6:00pm,complete,685,Al Wahda,Najran,0.00,0.00,1.38,0.85,1,1,2,0,0,0,"90","52",-1,-1,1,0,0,0,-2,-2,-1,-1,-1,-1,-1,-1,52,48,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,King Abdul Aziz Stadium (Makkah (Mecca))
1442510100,Sep 17 2015 - 5:15pm,complete,896,Al Shabab,Al Khaleej,3.00,0.00,1.38,1.54,0,0,0,0,0,0,"","",5,4,3,0,4,0,10,10,5,4,5,6,13,21,61,39,2.00,50,50,50,50,0,0,0,5.00,2.00,0.00,0,0,0,0,0,0,0,0,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1442591100,Sep 18 2015 - 3:45pm,complete,3899,Al Taawon,Al Quadisiya,1.00,0.00,2.23,0.85,5,1,6,3,2,1,"35,40,51,85,90'3","12",7,6,4,1,4,0,10,14,4,5,6,9,14,16,53,47,0.00,0,0,0,0,0,0,0,6.00,2.00,0.00,0,0,0,0,0,0,0,0,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1442599200,Sep 18 2015 - 6:00pm,complete,29049,Al Ahli,Al Wahda,0.00,0.00,2.31,1.00,2,0,2,1,1,0,"26,90","",14,3,2,0,3,0,12,8,6,4,6,4,13,13,66,34,1.00,0,50,0,0,0,50,50,-1.00,2.00,0.00,0,0,0,0,0,0,0,0,King Abdullah Sports City (Jeddah)
